"","governance_involvement","agroecol_perspective_13","agroecology_knowledge","dfs_adoption_binary","distance_main_road","fair_price_crops","household_shock_recover_capacity","income_stability","membership","nearest_farmer_adopted","nr_management_opinion","numHA_nhlabour_permanent_total","num_info_exchange_extension","num_info_exchange_farmers","num_info_exchange_sources","perceived_shock_market","perceived_shock_soil_erosion","perception_associations_effectiveness","project_participation","sfs_monoculture_perennial_area","soil_pH_mean","support_provider.cooperatives","support_provider.ind_different_community","training_participation","years_farming_land","yield_gap_median","human_wellbeing_11"
"20231108_LiS",0.859459383988697,2,0,1,4,4,2,2,1,1,3,0.333333333333333,2,0,2,0,0,4,1,2,6.36666666666667,1,0,1,17,28.5714285714286,2
"20231108_NaS",1.79545417200912,4,0,0,1,3,3,4,1,0,4,0.285714285714286,0,0,0,1,0,0,0,4.5,4,0,1,0,5,69.3627450980392,4
"20231110_ErR",0.846224737644817,5,2,1,20,4,2,5,1,0,3,0.0833333333333333,0,0,1,0,1,2,1,1.5,5.03333333333333,0,0,1,42,99.1659451659452,1
"20231110_JuC",-0.97282625302052,1,1,0,150,4,2,3,1,1,3,0.0714285714285714,5,0,2,0,0,4,0,14,6.9,1,0,0,14,16.5120593692022,3
"20231110_MaM",-0.97282625302052,1,1,1,4,4,2,2,1,1,2,0.0303030303030303,4,0,1,0,0,1,0,25,5.13333333333333,1,1,1,27,51.179820992677,3
"20231113_FlH",0.872694030332577,4,1,0,1,2,4,5,1,0,3,0.153846153846154,0,6,1,1,0,0,0,10,4,0,0,0,10,38.9747762408462,5
"20231113_SeH",1.78221952566524,4,1,0,5,2,3,5,1,0,3,0.117647058823529,2,0,1,0,0,0,0,12,4.13333333333333,0,0,0,17,86.8686868686869,4
"20231115_GiC",-0.97282625302052,4,0,0,5,3,4,5,1,0,2,0.25,0,0,0,0,0,0,0,6,4.16666666666667,0,0,0,13,75.4901960784314,4
"20231115_IsC",-0.0368314650000917,3,0,0,2,2,3,5,1,0,3,0.315789473684211,2,4,2,0,0,0,0,8.5,4.03333333333333,0,1,0,22,87.2611464968153,4
"20231116_HiC",-0.0500661113439715,4,0,0,1,3,4,3,1,0,3,1,0,0,0,0,0,0,0,3,3.9,0,0,0,14,74.5222929936306,3
"20231116_RoG",0.872694030332577,4,1,0,20,3,5,5,1,0,3,1,6,2,2,0,0,0,0,2,4.06666666666667,0,0,0,10,57.9831932773109,4
"20231117_EdR",0.859459383988697,4,1,0,1,3,3,3,1,1,3,0.4,0,0,0,0,0,0,0,5,4.26666666666667,0,1,0,10,73.7373737373737,5
"20231117_NeR",-0.97282625302052,1,0,1,100,4,1,3,1,1,2,0.4,0,0,0,0,0,4,0,1.5,6.6,1,0,0,17,48.0519480519481,3
"20231117_RuA",-0.0500661113439715,4,1,0,1,3,4,5,1,0,2,0.210526315789474,6,0,2,0,0,0,0,9.5,4.1,0,0,0,9,87.2611464968153,4
"20231117_SeV",-0.0500661113439715,4,1,0,2,3,4,5,1,0,2,1,2,0,1,0,0,0,0,2,5.3,0,0,0,7,78.989898989899,4
"20231117_ViR",-0.986060899364399,1,1,1,150,4,2,2,1,1,2,0.1,13,0,3,0,0,4,1,5,7.33333333333333,1,0,1,22,42.8571428571429,3
"20231118_JaS",-0.986060899364399,2,1,1,500,4,2,2,1,1,3,0.00769230769230769,4,6,3,0,1,4,1,22,6.13333333333333,1,0,1,27,0,3
"20231118_LuS",0.859459383988697,4,1,0,50,2,4,3,0,0,3,1,0,0,0,0,0,0,0,4,4.36666666666667,0,1,0,10,14.2857142857143,4
"20231118_ReS",-0.986060899364399,1,1,1,250,4,2,2,1,1,3,0.3,6,8,4,0,1,4,1,5.5,5.86666666666667,1,0,1,27,68.75,4
"20231120_AlR",0.872694030332577,4,2,1,1,3,4,5,1,0,3,0.125,2,0,1,1,0,0,0,7,4,0,1,0,7,36.8686868686869,4
"20231120_LuG",0.885928676676456,4,0,0,2,3,3,2,1,0,3,0.75,0,0,0,0,0,0,0,4,3.73333333333333,0,1,0,10,62.7958506634977,4
"20231121_DaT",-0.97282625302052,4,0,1,2,3,3,3,1,0,2,0.333333333333333,0,2,1,0,0,0,0,0.5,4.56666666666667,0,1,0,14,63.2352941176471,4
"20231121_HiC",-0.986060899364399,2,1,1,450,4,2,2,1,1,2,0.285714285714286,4,0,1,0,0,4,1,0,6.1,1,0,1,22,13.4199134199134,3
"20231121_MiF",-0.0500661113439715,1,1,1,150,3,1,2,1,1,2,0.0606060606060606,0,0,0,0,0,4,1,4.9,5.6,1,0,1,22,64.6330680813439,3
"20231122_LeC",-0.97282625302052,2,1,1,150,4,1,1,1,0,2,0.1,4,3,2,0,0,2,1,1.49,5.76666666666667,1,0,1,22,48.0519480519481,2
"20231122_MeA",-0.95959160667664,1,1,1,5,3,1,1,1,1,2,0.181818181818182,4,0,3,1,0,1,0,0,6.4,1,0,1,37,30.7359307359307,3
"20231124_AlL",0.859459383988697,5,2,0,2,4,3,3,0,0,3,0.25,0,0,1,0,1,0,0,8,4.13333333333333,1,0,0,22,85.2516888631538,4
"20231124_EdA",-0.986060899364399,2,1,0,400,3,2,2,1,1,2,0.1,4,2,3,0,0,2,1,5,4.9,0,0,0,22,23.0769230769231,3
"20231124_RoS",-0.97282625302052,1,1,1,30,4,2,2,1,1,2,0.111111111111111,2,2,3,0,0,4,1,2,6.66666666666667,1,0,1,7,0,3
"20231125_DyR",-0.986060899364399,2,1,1,400,4,1,2,1,1,2,0.0375,4,0,3,0,0,3,1,6.5,5.5,1,0,1,22,55.4730983302412,3
"20231125_WiS",-0.986060899364399,2,1,1,400,4,3,2,1,1,3,0.4,8,0,2,0,0,4,1,0,6.16666666666667,1,0,1,27,0,3
"20231128_DeG",0.846224737644817,4,2,0,5,4,2,3,0,0,2,3,0,0,2,0,0,0,1,0.75,4.26666666666667,0,1,0,17,92.6470588235294,4
"20231128_GlM",0.885928676676456,5,1,0,5,3,4,5,1,0,4,0.333333333333333,0,0,0,0,0,0,0,4,5,0,1,0,7,51.1544011544011,4
"20231129_LiL",0.872694030332577,4,0,0,5,3,4,3,0,0,3,0.173913043478261,2,4,2,0,0,0,0,9.5,4.76666666666667,0,1,0,10,50,4
"20231129_ReA",-0.023596818656212,4,1,0,5,3,4,3,0,0,3,0.111111111111111,0,2,1,0,0,0,0,5.5,4.36666666666667,0,1,1,8,78.8612499515673,4
"20231210_JuG",-0.986060899364399,2,1,1,150,4,2,2,1,1,2,0.0833333333333333,8,0,2,0,0,5,0,6.8,4.9,1,0,1,10,64.2857142857143,2
"20231211_DiM",0.872694030332577,4,1,0,1,3,5,5,1,0,3,0.222222222222222,0,3,1,0,0,0,0,9,4.5,0,1,0,7,18.0952380952381,5
"20231211_DoF",1.78221952566524,4,0,0,2,3,4,5,1,0,3,0.166666666666667,0,4,2,1,0,0,0,11,4.03333333333333,0,1,0,14,78.3236994219653,3
"20231211_NaS",-0.986060899364399,4,0,0,3,3,4,4,1,0,3,0.142857142857143,0,5,1,1,0,0,0,14,4.16666666666667,0,1,0,8,42.8513071895425,4
"20231212_MaR",0.859459383988697,4,0,0,2,2,4,2,1,0,3,0.4,0,5,1,1,0,0,0,5,4.43333333333333,0,1,0,12,70.802033069549,4
"20231213_JaH",-0.986060899364399,0,1,1,200,4,2,2,1,1,2,0.2,2,2,4,0,0,5,1,2.5,6,1,0,1,12,46.9496021220159,2
"20231213_JoZ",-0.986060899364399,2,1,1,600,4,1,2,1,1,3,0.333333333333333,3,0,2,0,0,3,0,3,7.23333333333333,1,0,1,20,18.8311688311688,4
"20231215_GrT",-0.986060899364399,1,0,1,300,0,1,2,1,0,2,0,0,0,0,0,0,1,0,1,6.1,1,0,0,22,82.9642248722317,3
"20231215_JoS",-0.986060899364399,1,0,0,600,4,1,2,1,1,2,0.2,4,2,2,0,1,2,1,3.4,6.66666666666667,1,1,1,17,71.4285714285714,2
"20240118_ElD",-0.986060899364399,2,1,1,300,4,1,2,1,1,2,0.333333333333333,3,1,3,0,1,3,0,1.5,5.5,1,0,1,15,71.4285714285714,3
"20240118_NoC",-0.986060899364399,2,0,1,300,4,1,2,1,1,2,0.266666666666667,2,0,1,0,0,1,0,4,4.7,1,0,1,19,0,3
"20240124_JuJ",-0.986060899364399,2,1,1,150,4,2,2,1,1,3,0.2,4,3,3,0,0,4,1,3,6.26666666666667,1,0,1,13,60.9375,3
"20240125_ArR",-0.986060899364399,2,1,1,150,3,1,3,1,1,3,0,4,3,2,0,0,1,0,3,4.76666666666667,1,0,1,19,47.1428571428571,3
"20240126_RaM",-0.0633007576878513,2,1,1,300,4,1,2,1,1,3,1,1,2,3,0,0,3,0,0,6.26666666666667,1,0,1,13,71.4285714285714,4
"20240126_WiM",-0.986060899364399,2,1,1,600,4,1,3,1,1,2,0.307692307692308,4,0,3,0,0,3,1,2.4,6.43333333333333,1,0,1,13,64.2857142857143,3
"20240212_EsV",-0.0633007576878513,5,1,0,5,2,4,5,1,0,3,0.2,0,3,1,1,0,0,0,10,4.56666666666667,0,1,0,12,84.4612794612795,4
"20240212_JaR",0.846224737644817,5,1,0,100,2,4,3,0,0,4,0.125,0,2,1,0,0,0,0,3.5,4.76666666666667,0,1,0,10,74.5222929936306,4
"20240212_JuA",-0.0633007576878513,4,1,0,1,3,4,4,1,0,2,0.444444444444444,0,3,1,1,0,0,0,6,4.33333333333333,0,1,0,10,74.5222929936306,4
"20240213_LeC",0.872694030332577,4,0,0,1,4,4,5,1,1,4,0.375,0,4,2,0,0,0,0,8,4.46666666666667,0,1,0,10,82.4915824915825,4
"20240213_PeS",0.859459383988697,5,1,0,5,2,4,4,1,0,3,0.235294117647059,0,2,1,1,0,0,0,8.5,3.9,0,1,0,7,23.8095238095238,4
"20240213_WiM",0.872694030332577,4,1,0,5,2,4,5,1,0,4,0.4,0,4,2,0,0,0,0,4.5,4.23333333333333,0,1,0,6,47.1098265895954,4
"20240214_ViG",0.859459383988697,4,1,0,2,2,4,5,1,0,3,0.19047619047619,0,0,1,0,0,0,0,10.5,4.06666666666667,0,1,0,10,78.3236994219653,3
"20240216_CaR",1.79545417200912,4,1,0,0,3,4,5,1,0,3,0.166666666666667,0,6,1,1,0,2,0,9,4.53333333333333,0,1,0,14,78.7685774946922,5
"20240216_JuC",0.872694030332577,4,1,0,2,2,3,3,1,0,3,0.5,0,6,2,1,0,0,0,6.5,4.5,0,1,0,14,71.1231467109137,5
"20240217_CaA",0.859459383988697,4,1,0,2,2,3,4,1,0,3,0.333333333333333,0,6,2,1,0,1,0,9,4.63333333333333,0,1,0,11,80.8917197452229,4
"20240226_DaT",-0.986060899364399,2,1,1,150,4,1,1,1,1,3,0.0666666666666667,3,0,1,0,0,4,1,0,5.83333333333333,1,0,1,13,65.0914585821014,3
"20240226_JuT",-0.986060899364399,3,0,0,100,3,1,2,0,1,2,0.111111111111111,1,0,2,0,0,2,1,2.5,5.56666666666667,0,0,0,28,54.5454545454545,3
"20240226_NeT",-0.986060899364399,2,0,1,100,3,2,2,0,0,2,0,0,0,0,0,1,2,0,0,5.63333333333333,0,0,0,16,56.7099567099567,3
"20240226_WiB",0.885928676676456,2,1,1,300,4,1,2,1,1,3,0.148148148148148,5,4,4,0,0,3,0,5,5.06666666666667,1,0,1,21,46.4285714285714,4
"20240227_ElT",-0.986060899364399,3,0,1,3,3,1,2,0,1,3,0,0,0,0,0,0,1,0,3,5.73333333333333,0,0,0,17,71.4285714285714,2
"20240227_LuP",-0.0500661113439715,5,1,0,2,3,3,3,1,0,3,0.125,0,4,2,1,0,1,0,7,4.5,0,1,0,12,75.9259259259259,5
"20240227_SeV",-0.986060899364399,2,0,1,100,3,1,1,0,1,2,0,0,0,0,0,1,1,0,0,5.56666666666667,0,0,0,24,48.0519480519481,3
"20240228_AlA",-0.986060899364399,2,0,1,100,3,1,2,0,1,2,0.5,0,0,0,0,1,0,0,0,5.33333333333333,0,0,0,29,91.4285714285714,2
"20240228_DeR",0.859459383988697,4,1,0,150,2,4,4,1,0,3,0.333333333333333,0,6,1,1,0,2,0,7,4.73333333333333,0,1,1,11,40.1515151515151,4
"20240228_GlG",-0.986060899364399,2,1,0,100,3,1,2,0,1,2,0,0,0,0,0,1,1,0,1.5,5.13333333333333,0,0,0,18,88.5714285714286,3
"20240228_GrL",-0.986060899364399,2,0,1,200,3,1,2,0,0,2,0.1,2,0,2,0,0,2,0,3.5,5.4,0,0,0,25,48.5714285714286,3
"20240228_LiY",-0.023596818656212,2,1,1,300,4,1,2,1,1,3,0.5,3,2,3,0,0,4,0,0,5.93333333333333,1,0,1,13,71.4285714285714,3
"20240228_MaS",-0.986060899364399,3,0,1,150,3,1,2,0,1,2,0,1,2,2,1,0,3,0,2,5.7,0,0,0,13,45.4545454545455,3
"20240228_SeT",-0.0633007576878513,2,1,1,250,4,2,2,1,0,3,0.0333333333333333,5,0,1,0,0,4,1,0,5.56666666666667,1,0,1,16,41.5584415584416,3
"20240228_SoI",-0.0633007576878513,4,1,0,2,2,3,4,1,0,3,0.285714285714286,0,6,2,1,0,1,0,7,4.56666666666667,0,1,0,11,79.8653198653199,4
"20240229_AnD",-0.97282625302052,2,1,1,300,3,1,2,1,1,3,0.0833333333333333,4,0,2,0,0,4,0,3,6.8,1,0,1,10,23.8095238095238,3
"20240229_AnG",-0.986060899364399,2,0,1,150,3,1,2,0,1,2,0.333333333333333,0,0,0,0,0,0,0,3,5.63333333333333,0,0,0,11,69.9576257753638,3
"20240229_ArP",0.846224737644817,5,1,0,5,3,4,3,1,0,3,0.2,0,6,1,1,0,1,0,10,4.56666666666667,0,1,0,14,80.187908496732,5
"20240229_GeE",-0.986060899364399,2,0,0,300,3,1,1,0,1,2,0,2,0,1,0,0,3,0,1.5,5.56666666666667,0,0,0,19,0,3
"20240229_GiA",0.872694030332577,5,2,0,10,2,4,2,1,0,3,0.285714285714286,0,5,1,1,0,0,0,6,4.5,0,1,0,5,80.8006535947712,5
"20240229_JuA",-0.97282625302052,2,0,1,300,3,1,1,0,0,3,0,2,2,2,0,0,2,0,0,5,0,0,0,21,67.5324675324675,3
"20240229_LuA",1.79545417200912,5,1,0,50,4,5,5,1,0,4,0.3,1,8,2,1,0,1,0,10,4.46666666666667,0,1,0,14,51.4285714285714,5
"20240229_MaY",-0.986060899364399,3,0,1,200,4,1,1,0,1,3,0.666666666666667,1,0,1,0,1,1,0,0,6.53333333333333,0,0,0,10,14.2857142857143,3
"20240229_SaC",-0.95959160667664,2,1,1,250,4,1,2,1,1,3,1,4,0,1,0,0,3,1,0,5.26666666666667,1,0,1,16,57.1428571428571,3
"20240301_AnF",0.859459383988697,2,1,1,1,4,1,2,1,1,3,0.05,4,2,3,0,0,3,1,36,4.4,1,0,1,38,90.2597402597403,4
"20240301_CaG",0.859459383988697,5,1,0,50,3,5,3,1,0,3,0.16,0,8,1,1,0,1,0,11,4.43333333333333,0,1,1,10,45.1428571428571,4
"20240301_ElC",-0.986060899364399,3,1,0,250,4,2,2,1,0,3,0.05,4,0,2,0,0,4,0,8.5,5.06666666666667,0,0,0,21,44.3413729128015,3
"20240301_ErR",1.78221952566524,3,0,0,50,4,5,5,1,0,3,0.421052631578947,0,10,1,1,0,0,0,7,4.56666666666667,0,1,0,14,73.0808080808081,4
"20240301_PaN",0.872694030332577,5,1,0,0,3,3,5,1,0,3,0.4,0,7,1,1,0,1,0,8,4.66666666666667,0,1,0,7,38.8571428571429,5
"20240301_SiC",-0.0500661113439715,3,0,0,50,4,1,2,0,0,3,0.133333333333333,3,0,2,1,0,1,0,4.5,5.93333333333333,0,0,1,17,13.4199134199134,2
"20240302_ElP",-0.0368314650000917,3,1,0,5,3,4,4,1,0,3,0.235294117647059,0,6,1,1,1,0,0,7.5,4.46666666666667,0,1,0,10,8.57142857142857,4
"20240302_IsV",0.859459383988697,4,1,0,5,3,4,4,1,0,3,0.333333333333333,0,6,1,1,0,0,0,5,4.4,0,1,0,14,40,4
"20240308_AlC",-0.97282625302052,2,1,1,600,4,1,1,1,0,3,0.105263157894737,5,0,2,0,0,5,0,0,5.36666666666667,1,0,1,41,46.9496021220159,3
"20240309_ClC",-0.0633007576878513,2,1,1,400,3,1,1,1,0,3,0.0769230769230769,4,0,3,1,0,3,0,4,5.46666666666667,1,0,1,31,20.4244031830239,3
"20240309_GrD",-0.97282625302052,2,1,0,300,4,1,2,1,1,2,0.0555555555555556,3,2,3,0,0,4,0,3,5.4,1,0,1,36,46.9496021220159,3
"20240310_BeT",-0.97282625302052,2,1,0,600,4,2,2,1,1,2,0.04,4,0,2,0,1,4,0,7.5,6.3,1,0,1,16,65.7142857142857,3
"20240310_FeA",-0.0368314650000917,2,1,0,350,4,1,1,1,1,3,0.117647058823529,4,0,4,0,0,4,0,4,7.36666666666667,1,0,1,25,7.14285714285714,3
"20240310_RoB",-0.0500661113439715,2,1,1,600,4,2,2,1,0,2,0.00666666666666667,4,0,2,0,0,3,0,5,5.6,1,0,1,19,14.2857142857143,3
"20240310_SaD",-0.0633007576878513,2,1,1,600,4,2,2,1,1,2,0.0487804878048781,3,0,4,0,0,3,0,3,6.06666666666667,1,0,1,16,71.4285714285714,3
"20240311_DaC",-0.986060899364399,2,0,1,450,3,2,2,0,0,2,0.0117647058823529,0,0,0,0,0,2,0,4.5,6.23333333333333,0,0,0,6,2.5974025974026,3
"20240311_HeC",-0.986060899364399,3,0,0,400,3,1,2,0,1,2,0.08,0,0,0,0,0,1,0,2.5,6.56666666666667,0,0,0,3,71.4285714285714,3
"20240311_IsQ",-0.986060899364399,3,0,1,150,3,2,1,0,0,2,0.0666666666666667,0,0,0,0,1,1,0,3.5,5.86666666666667,0,0,0,17,42.8571428571429,3
"20240311_JuC",-0.986060899364399,2,0,0,400,3,2,1,0,1,2,0.0285714285714286,0,0,1,1,0,3,0,7,5.56666666666667,0,0,0,17,0,3
"20240312_EzV",-0.0500661113439715,2,1,1,1,4,1,2,1,1,3,0.05,5,2,2,0,0,4,0,14,4.13333333333333,1,0,1,19,57.4970484061393,3
"20240313_AnG",-0.986060899364399,3,0,0,100,3,2,1,0,0,3,0.1,2,0,2,0,0,1,0,2.5,6.6,0,0,1,21,0,3
