"","agroecol_perspective_13","agroecol_perspective_4","crop_type.cacao","dfs_adoption_binary","distance_main_road","household_shock_recover_capacity","income_stability","influence_nr_frequency","membership","nearest_farmer_adopted","numHA_nhlabour_permanent_total","num_info_exchange_extension","num_info_exchange_sources","num_membership","perception_associations_effectiveness","project_participation","sfs_monoculture_perennial_area","soil_pH_mean","support_provider.cooperatives","support_provider.ind_different_community","training_participation","years_farming_land"
"20231118_LuS",4,5,0,0,50,4,3,3,0,0,1,0,0,0,0,0,4,4.36666666666667,0,1,0,10
"20231118_ReS",1,4,1,1,250,2,2,1,1,1,0.3,6,4,3,4,1,5.5,5.86666666666667,1,0,1,27
"20231120_AlR",4,3,0,1,1,4,5,3,1,0,0.125,2,1,1,0,0,7,4,0,1,0,7
"20231120_LuG",4,4,0,0,2,3,2,3,1,0,0.75,0,0,1,0,0,4,3.73333333333333,0,1,0,10
"20231121_DaT",4,4,0,1,2,3,3,1,1,0,0.333333333333333,0,1,1,0,0,0.5,4.56666666666667,0,1,0,14
"20231121_HiC",2,4,1,1,450,2,2,1,1,1,0.285714285714286,4,1,4,4,1,0,6.1,1,0,1,22
"20231121_MiF",1,4,1,1,150,1,2,2,1,1,0.0606060606060606,0,0,1,4,1,4.9,5.6,1,0,1,22
"20231122_LeC",2,4,1,1,150,1,1,1,1,0,0.1,4,2,2,2,1,1.49,5.76666666666667,1,0,1,22
"20231122_MeA",1,5,1,1,5,1,1,1,1,1,0.181818181818182,4,3,2,1,0,0,6.4,1,0,1,37
"20231124_AlL",5,5,0,0,2,3,3,3,0,0,0.25,0,1,0,0,0,8,4.13333333333333,1,0,0,22
"20231124_EdA",2,4,1,0,400,2,2,1,1,1,0.1,4,3,1,2,1,5,4.9,0,0,0,22
"20231124_RoS",1,5,1,1,30,2,2,1,1,1,0.111111111111111,2,3,1,4,1,2,6.66666666666667,1,0,1,7
"20231125_DyR",2,4,1,1,400,1,2,1,1,1,0.0375,4,3,3,3,1,6.5,5.5,1,0,1,22
"20231125_WiS",2,5,1,1,400,3,2,1,1,1,0.4,8,2,2,4,1,0,6.16666666666667,1,0,1,27
"20231128_DeG",4,4,0,0,5,2,3,3,0,0,3,0,2,0,0,1,0.75,4.26666666666667,0,1,0,17
"20231128_GlM",5,4,0,0,5,4,5,3,1,0,0.333333333333333,0,0,2,0,0,4,5,0,1,0,7
"20231129_LiL",4,4,0,0,5,4,3,3,0,0,0.173913043478261,2,2,0,0,0,9.5,4.76666666666667,0,1,0,10
"20231129_ReA",4,4,0,0,5,4,3,2,0,0,0.111111111111111,0,1,0,0,0,5.5,4.36666666666667,0,1,1,8
"20231210_JuG",2,5,1,1,150,2,2,1,1,1,0.0833333333333333,8,2,2,5,0,6.8,4.9,1,0,1,10
"20231211_DiM",4,5,0,0,1,5,5,3,1,0,0.222222222222222,0,1,2,0,0,9,4.5,0,1,0,7
"20231211_DoF",4,3,0,0,2,4,5,4,1,0,0.166666666666667,0,2,1,0,0,11,4.03333333333333,0,1,0,14
"20231211_NaS",4,3,0,0,3,4,4,1,1,0,0.142857142857143,0,1,1,0,0,14,4.16666666666667,0,1,0,8
"20231212_MaR",4,4,0,0,2,4,2,3,1,0,0.4,0,1,1,0,0,5,4.43333333333333,0,1,0,12
"20231213_JaH",0,4,1,1,200,2,2,1,1,1,0.2,2,4,1,5,1,2.5,6,1,0,1,12
"20231213_JoZ",2,4,1,1,600,1,2,1,1,1,0.333333333333333,3,2,1,3,0,3,7.23333333333333,1,0,1,20
"20231215_GrT",1,4,1,1,300,1,2,1,1,0,0,0,0,1,1,0,1,6.1,1,0,0,22
"20231215_JoS",1,4,1,0,600,1,2,1,1,1,0.2,4,2,3,2,1,3.4,6.66666666666667,1,1,1,17
"20240118_ElD",2,4,1,1,300,1,2,1,1,1,0.333333333333333,3,3,1,3,0,1.5,5.5,1,0,1,15
"20240118_NoC",2,5,1,1,300,1,2,1,1,1,0.266666666666667,2,1,1,1,0,4,4.7,1,0,1,19
"20240124_JuJ",2,4,1,1,150,2,2,1,1,1,0.2,4,3,3,4,1,3,6.26666666666667,1,0,1,13
"20240125_ArR",2,4,1,1,150,1,3,1,1,1,0,4,2,1,1,0,3,4.76666666666667,1,0,1,19
"20240126_RaM",2,4,1,1,300,1,2,2,1,1,1,1,3,2,3,0,0,6.26666666666667,1,0,1,13
"20240126_WiM",2,5,1,1,600,1,3,1,1,1,0.307692307692308,4,3,1,3,1,2.4,6.43333333333333,1,0,1,13
"20240212_EsV",5,5,0,0,5,4,5,2,1,0,0.2,0,1,1,0,0,10,4.56666666666667,0,1,0,12
"20240212_JaR",5,3,0,0,100,4,3,3,0,0,0.125,0,1,0,0,0,3.5,4.76666666666667,0,1,0,10
"20240212_JuA",4,4,0,0,1,4,4,2,1,0,0.444444444444444,0,1,1,0,0,6,4.33333333333333,0,1,0,10
"20240213_LeC",4,4,0,0,1,4,5,3,1,1,0.375,0,2,2,0,0,8,4.46666666666667,0,1,0,10
"20240213_PeS",5,5,0,0,5,4,4,3,1,0,0.235294117647059,0,1,1,0,0,8.5,3.9,0,1,0,7
"20240213_WiM",4,5,0,0,5,4,5,3,1,0,0.4,0,2,1,0,0,4.5,4.23333333333333,0,1,0,6
"20240214_ViG",4,4,0,0,2,4,5,3,1,0,0.19047619047619,0,1,1,0,0,10.5,4.06666666666667,0,1,0,10
"20240216_CaR",4,5,0,0,0,4,5,4,1,0,0.166666666666667,0,1,2,2,0,9,4.53333333333333,0,1,0,14
"20240216_JuC",4,4,0,0,2,3,3,3,1,0,0.5,0,2,2,0,0,6.5,4.5,0,1,0,14
"20240217_CaA",4,4,0,0,2,3,4,3,1,0,0.333333333333333,0,2,1,1,0,9,4.63333333333333,0,1,0,11
"20240226_DaT",2,5,1,1,150,1,1,1,1,1,0.0666666666666667,3,1,1,4,1,0,5.83333333333333,1,0,1,13
"20240226_JuT",3,3,1,0,100,1,2,1,0,1,0.111111111111111,1,2,0,2,1,2.5,5.56666666666667,0,0,0,28
"20240226_NeT",2,3,1,1,100,2,2,1,0,0,0,0,0,0,2,0,0,5.63333333333333,0,0,0,16
"20240226_WiB",2,4,1,1,300,1,2,3,1,1,0.148148148148148,5,4,1,3,0,5,5.06666666666667,1,0,1,21
"20240227_ElT",3,3,1,1,3,1,2,1,0,1,0,0,0,0,1,0,3,5.73333333333333,0,0,0,17
"20240227_LuP",5,5,0,0,2,3,3,2,1,0,0.125,0,2,1,1,0,7,4.5,0,1,0,12
"20240227_SeV",2,3,1,1,100,1,1,1,0,1,0,0,0,0,1,0,0,5.56666666666667,0,0,0,24
"20240228_AlA",2,4,1,1,100,1,2,1,0,1,0.5,0,0,0,0,0,0,5.33333333333333,0,0,0,29
"20240228_DeR",4,5,0,0,150,4,4,3,1,0,0.333333333333333,0,1,1,2,0,7,4.73333333333333,0,1,1,11
"20240228_GlG",2,4,1,0,100,1,2,1,0,1,0,0,0,0,1,0,1.5,5.13333333333333,0,0,0,18
"20240228_GrL",2,4,1,1,200,1,2,1,0,0,0.1,2,2,0,2,0,3.5,5.4,0,0,0,25
"20240228_LiY",2,4,1,1,300,1,2,2,1,1,0.5,3,3,2,4,0,0,5.93333333333333,1,0,1,13
"20240228_MaS",3,3,1,1,150,1,2,1,0,1,0,1,2,0,3,0,2,5.7,0,0,0,13
"20240228_SeT",2,4,1,1,250,2,2,2,1,0,0.0333333333333333,5,1,1,4,1,0,5.56666666666667,1,0,1,16
"20240228_SoI",4,5,0,0,2,3,4,2,1,0,0.285714285714286,0,2,1,1,0,7,4.56666666666667,0,1,0,11
"20240229_AnD",2,4,1,1,300,1,2,1,1,1,0.0833333333333333,4,2,1,4,0,3,6.8,1,0,1,10
"20240229_AnG",2,3,1,1,150,1,2,1,0,1,0.333333333333333,0,0,0,0,0,3,5.63333333333333,0,0,0,11
"20240229_ArP",5,5,0,0,5,4,3,3,1,0,0.2,0,1,2,1,0,10,4.56666666666667,0,1,0,14
"20240229_GeE",2,4,1,0,300,1,1,1,0,1,0,2,1,0,3,0,1.5,5.56666666666667,0,0,0,19
"20240229_GiA",5,5,0,0,10,4,2,3,1,0,0.285714285714286,0,1,1,0,0,6,4.5,0,1,0,5
"20240229_JuA",2,3,1,1,300,1,1,1,0,0,0,2,2,0,2,0,0,5,0,0,0,21
"20240229_LuA",5,5,0,0,50,5,5,4,1,0,0.3,1,2,1,1,0,10,4.46666666666667,0,1,0,14
"20240229_MaY",3,3,1,1,200,1,1,1,0,1,0.666666666666667,1,1,0,1,0,0,6.53333333333333,0,0,0,10
"20240229_SaC",2,4,1,1,250,1,2,1,1,1,1,4,1,1,3,1,0,5.26666666666667,1,0,1,16
"20240301_AnF",2,4,1,1,1,1,2,3,1,1,0.05,4,3,3,3,1,36,4.4,1,0,1,38
"20240301_CaG",5,4,0,0,50,5,3,3,1,0,0.16,0,1,1,1,0,11,4.43333333333333,0,1,1,10
"20240301_ElC",3,3,1,0,250,2,2,1,1,0,0.05,4,2,1,4,0,8.5,5.06666666666667,0,0,0,21
"20240301_ErR",3,5,0,0,50,5,5,4,1,0,0.421052631578947,0,1,2,0,0,7,4.56666666666667,0,1,0,14
"20240301_PaN",5,5,0,0,0,3,5,3,1,0,0.4,0,1,1,1,0,8,4.66666666666667,0,1,0,7
"20240301_SiC",3,3,1,0,50,1,2,2,0,0,0.133333333333333,3,2,0,1,0,4.5,5.93333333333333,0,0,1,17
"20240302_ElP",3,4,0,0,5,4,4,2,1,0,0.235294117647059,0,1,1,0,0,7.5,4.46666666666667,0,1,0,10
"20240302_IsV",4,4,0,0,5,4,4,3,1,0,0.333333333333333,0,1,1,0,0,5,4.4,0,1,0,14
"20240308_AlC",2,4,1,1,600,1,1,1,1,0,0.105263157894737,5,2,1,5,0,0,5.36666666666667,1,0,1,41
"20240309_ClC",2,4,1,1,400,1,1,2,1,0,0.0769230769230769,4,3,1,3,0,4,5.46666666666667,1,0,1,31
"20240309_GrD",2,4,1,0,300,1,2,1,1,1,0.0555555555555556,3,3,1,4,0,3,5.4,1,0,1,36
"20240310_BeT",2,4,1,0,600,2,2,1,1,1,0.04,4,2,1,4,0,7.5,6.3,1,0,1,16
"20240310_FeA",2,4,1,0,350,1,1,2,1,1,0.117647058823529,4,4,1,4,0,4,7.36666666666667,1,0,1,25
"20240310_RoB",2,4,1,1,600,2,2,2,1,0,0.00666666666666667,4,2,1,3,0,5,5.6,1,0,1,19
"20240310_SaD",2,4,1,1,600,2,2,2,1,1,0.0487804878048781,3,4,1,3,0,3,6.06666666666667,1,0,1,16
"20240311_DaC",2,4,1,1,450,2,2,1,0,0,0.0117647058823529,0,0,0,2,0,4.5,6.23333333333333,0,0,0,6
"20240311_HeC",3,3,1,0,400,1,2,1,0,1,0.08,0,0,0,1,0,2.5,6.56666666666667,0,0,0,3
"20240311_IsQ",3,3,1,1,150,2,1,1,0,0,0.0666666666666667,0,0,0,1,0,3.5,5.86666666666667,0,0,0,17
"20240311_JuC",2,3,1,0,400,2,1,1,0,1,0.0285714285714286,0,1,0,3,0,7,5.56666666666667,0,0,0,17
"20240312_EzV",2,4,1,1,1,1,2,2,1,1,0.05,5,2,2,4,0,14,4.13333333333333,1,0,1,19
"20240313_AnG",3,4,1,0,100,2,1,1,0,0,0.1,2,2,0,1,0,2.5,6.6,0,0,1,21
