"","from","to","Original Est.","Bootstrap Mean","Bootstrap SD","tvalue","2.5% CI","97.5% CI","pvalue","significance"
"17","perception_associations_effectiveness","dfs_adoption_binary",-0.0670166695702341,-0.0784688004514251,0.123018749517935,-0.544767930358972,-0.323100913889623,0.160108190176217,0.585913137753838,""
"18","support_provider.ind_different_community","dfs_adoption_binary",-0.0712735451130297,-0.0679413519273649,0.085923232088322,-0.829502608092843,-0.238955443146462,0.098195404026025,0.406820061596418,""
"19","support_provider.cooperatives","dfs_adoption_binary",0.0343436333067544,0.0498141921350553,0.149968604793681,0.229005486541683,-0.240751775386336,0.36241232855168,0.818864651793084,""
"20","household_shock_recover_capacity","agroecol_perspective_13",0.304269586144964,0.319224906384181,0.095961700349247,3.17073983722248,0.134001481784706,0.512855226783228,0.0015205125518476,"**"
"21","household_shock_recover_capacity","dfs_adoption_binary",-0.233051190626103,-0.229488515604782,0.136733052422971,-1.70442469100435,-0.49777544688714,0.0412751023327318,0.088301774350902,"."
"22","numHA_nhlabour_permanent_total","training_participation",-0.0508292598414649,-0.0489698132679329,0.0520879672236174,-0.975834968242305,-0.153138572475416,0.0539161743375504,0.329146253034792,""
"23","num_info_exchange_sources","training_participation",0.146474053446466,0.148568612418174,0.0710434880461596,2.0617519983154,0.0135066469275258,0.29203156977209,0.0392313532362325,"*"
"24","distance_main_road","training_participation",0.101318257641118,0.0986110306320127,0.0752287492473478,1.34680236817429,-0.0514738267687594,0.243373809433026,0.178043891832615,""
"25","membership","training_participation",0.132020039317673,0.128928324280979,0.0721476116297878,1.829860148318,-0.0162748795227122,0.264842272377753,0.0672708538905611,"."
"26","project_participation","agroecol_perspective_13",-0.0819990544863909,-0.0787581081564557,0.0706621437394395,-1.1604382509078,-0.219219533628328,0.0596663842315137,0.245870420763768,""
"27","project_participation","training_participation",0.166765346069679,0.16701076926389,0.0782711462950351,2.1306107545822,0.0144291574737292,0.319794565509381,0.0331212228294404,"*"
"28","yield_gap_median","agroecol_perspective_13",0.0735291454278461,0.0798589017224978,0.0556643327469364,1.32093823458062,-0.0283886041526206,0.189040630795287,0.186521959718788,""
"29","agroecology_knowledge","agroecol_perspective_13",0.145574576649524,0.134953587585059,0.0668121373993623,2.17886423509202,0.00358503679419578,0.265128697113976,0.0293417553508515,"*"
"30","perceived_shock_market","agroecol_perspective_13",0.112848758967914,0.124672996852319,0.0681977183935454,1.65472924353133,-0.0075801570968932,0.26067686681279,0.0979794323201444,"."
"31","perceived_shock_soil_erosion","agroecol_perspective_13",0.0198371659157147,0.00580581307279482,0.0737469939003797,0.268989485083439,-0.136765671386123,0.152013452838631,0.787937774249942,""
"32","environmental_quality","agroecol_perspective_13",0.0431588508342476,0.0500986090540223,0.0933873045752674,0.462149015120817,-0.12920001266595,0.2361239405107,0.643974462539029,""
"33","fair_price_crops","agroecol_perspective_13",0.0882580867176856,0.0867949778711149,0.0841738799269382,1.04852107083922,-0.084499987789631,0.245864390136108,0.294398599525538,""
"34","nr_management_opinion","agroecol_perspective_13",0.160355185273834,0.167465218134847,0.061983098016788,2.58707922650789,0.0456747551050514,0.288213977418654,0.00967933338107363,"**"
"35","num_info_exchange_farmers","agroecol_perspective_13",-0.0618572831725125,-0.0758685564824242,0.108703871966664,-0.569043972890701,-0.283390256469403,0.11550685703306,0.569326298774254,""
