"list_name","name_choice","label_choice","name_new","country","type","name_question","label_question","column_name_new","type_question","label_choice.country"
"1_2_1_13_1","9","Can't work",NA,"global","select_one 1_2_1_13_1","_1_2_1_13_1","What was your main occupation in the last 12 months?","occupation_primary","select_one",NA
"1_2_1_13_1","777","Prefer not to say",NA,"global","select_one 1_2_1_13_1","_1_2_1_13_1","What was your main occupation in the last 12 months?","occupation_primary","select_one",NA
"1_2_1_13_1","other","Other (please specify)",NA,"global","select_one 1_2_1_13_1","_1_2_1_13_1","What was your main occupation in the last 12 months?","occupation_primary","select_one",NA
"1_2_1_13_2_1","1","Yes",NA,"global","select_one 1_2_1_13_2_1","_1_2_1_13_2_1","Do you have any additional occupation(s)?","occupation_secondary","select_one",NA
"1_2_1_13_2_1","0","No",NA,"global","select_one 1_2_1_13_2_1","_1_2_1_13_2_1","Do you have any additional occupation(s)?","occupation_secondary","select_one",NA
"1_2_1_13_2_2","1","Agricultural and/or livestock work on own land.",NA,"global","select_multiple 1_2_1_13_2_2","_1_2_1_13_2_2","What was your other occupation(s) in the last 12 months?","occupation_secondary_list","select_multiple",NA
"1_2_1_13_2_2","2","Permanent salaried work on other people's land",NA,"global","select_multiple 1_2_1_13_2_2","_1_2_1_13_2_2","What was your other occupation(s) in the last 12 months?","occupation_secondary_list","select_multiple",NA
"1_2_1_13_2_2","3","Seasonal wage labor on other people's land",NA,"global","select_multiple 1_2_1_13_2_2","_1_2_1_13_2_2","What was your other occupation(s) in the last 12 months?","occupation_secondary_list","select_multiple",NA
"1_2_1_13_2_2","4","Public administration",NA,"global","select_multiple 1_2_1_13_2_2","_1_2_1_13_2_2","What was your other occupation(s) in the last 12 months?","occupation_secondary_list","select_multiple",NA
"1_2_1_13_2_2","5","Company (landowner)",NA,"global","select_multiple 1_2_1_13_2_2","_1_2_1_13_2_2","What was your other occupation(s) in the last 12 months?","occupation_secondary_list","select_multiple",NA
"1_2_1_13_2_2","6","Salaried (non-agricultural work)",NA,"global","select_multiple 1_2_1_13_2_2","_1_2_1_13_2_2","What was your other occupation(s) in the last 12 months?","occupation_secondary_list","select_multiple",NA
"1_2_1_13_2_2","7","Study/education/training",NA,"global","select_multiple 1_2_1_13_2_2","_1_2_1_13_2_2","What was your other occupation(s) in the last 12 months?","occupation_secondary_list","select_multiple",NA
"1_2_1_13_2_2","8","Homemaker",NA,"global","select_multiple 1_2_1_13_2_2","_1_2_1_13_2_2","What was your other occupation(s) in the last 12 months?","occupation_secondary_list","select_multiple",NA
"1_2_1_13_2_2","777","Prefer not to say",NA,"global","select_multiple 1_2_1_13_2_2","_1_2_1_13_2_2","What was your other occupation(s) in the last 12 months?","occupation_secondary_list","select_multiple",NA
"1_2_1_13_2_2","other","Other (please specify)",NA,"global","select_multiple 1_2_1_13_2_2","_1_2_1_13_2_2","What was your other occupation(s) in the last 12 months?","occupation_secondary_list","select_multiple",NA
"1_2_1_15","1","Yes",NA,"global","select_one 1_2_1_15","_1_2_1_15","Are you or anyone in your household currently involved in any agricultural research or development project?","project_participation","select_one",NA
"1_2_1_15","0","No",NA,"global","select_one 1_2_1_15","_1_2_1_15","Are you or anyone in your household currently involved in any agricultural research or development project?","project_participation","select_one",NA
"1_2_1_16","2","Yes, I have a clear understanding of Agroecology.",NA,"global","select_one 1_2_1_16","_1_2_1_16_001","Do you know what Agroecology means?","agroecology_knowledge","select_one",NA
"1_2_1_16","1","I have some knowledge about Agroecology, but I would like to learn more.",NA,"global","select_one 1_2_1_16","_1_2_1_16_001","Do you know what Agroecology means?","agroecology_knowledge","select_one",NA
"1_2_1_16","0","No, I am not familiar with the term Agroecology.",NA,"global","select_one 1_2_1_16","_1_2_1_16_001","Do you know what Agroecology means?","agroecology_knowledge","select_one",NA
"1_2_1_9","male","Male","1","global","select_one 1_2_1_9","_1_2_1_9","Gender","gender","select_one",NA
"1_2_1_9","female","Female","0","global","select_one 1_2_1_9","_1_2_1_9","Gender","gender","select_one",NA
"1_2_1_9","non binary","Non-binary","2","global","select_one 1_2_1_9","_1_2_1_9","Gender","gender","select_one",NA
"1_2_1_9","none","Prefer not to say",NA,"global","select_one 1_2_1_9","_1_2_1_9","Gender","gender","select_one",NA
"1_2_1_12_1","4","Seconday",NA,"global","select_one 1_2_1_12_1","_1_2_1_12_1","What is the highest level of school you attended?","education_level","select_one",NA
"1_2_1_12_1","4","Seconday",NA,"global","select_one 1_2_1_12_1","_4_1_1_2","Please indicate the highest level of school attended by most MALE household members of working age (≥18 and ≤65 years old)","education_level_male","select_one",NA
"1_2_1_12_1","4","Seconday",NA,"global","select_one 1_2_1_12_1","_4_1_1_3","Please indicate the highest level of school attended by most FEMALE household members of working age (≥18 and ≤65 years old)","education_level_female","select_one",NA
"1_3_1_1","5","Completely agree",NA,"global","select_one 1_3_1_1","_1_3_1_1_1","I care a lot about nature.","agroecol_perspective_1","select_one",NA
"1_3_1_1","5","Completely agree",NA,"global","select_one 1_3_1_1","_1_3_1_1_2","Being in nature benefits me.","agroecol_perspective_2","select_one",NA
"1_3_1_1","5","Completely agree",NA,"global","select_one 1_3_1_1","_1_3_1_1_3","I live in a place where most people take good care of the land and nature.","agroecol_perspective_3","select_one",NA
"1_3_1_1","5","Completely agree",NA,"global","select_one 1_3_1_1","_1_3_1_1_4","I take care of the land and nature on my farm.","agroecol_perspective_4","select_one",NA
"1_3_1_1","5","Completely agree",NA,"global","select_one 1_3_1_1","_1_3_1_1_5","I identify myself as an agroecological farmer.","agroecol_perspective_5","select_one",NA
"1_3_1_1","5","Completely agree",NA,"global","select_one 1_3_1_1","_1_3_1_1_6","I have power and freedom to change farm production practices if I want to.","agroecol_perspective_6","select_one",NA
"1_3_1_1","5","Completely agree",NA,"global","select_one 1_3_1_1","_1_3_1_1_7","If I work together with others in my community, we have power and freedom to solve problems facing farmers.","agroecol_perspective_7","select_one",NA
"1_3_1_1","5","Completely agree",NA,"global","select_one 1_3_1_1","_1_3_2_1_5","I make decisions about what food to buy based primarily on price.","agroecol_perspective_8","select_one",NA
"1_3_1_1","5","Completely agree",NA,"global","select_one 1_3_1_1","_1_3_2_1_6","I would prefer to eat food that is produced without chemical inputs.","agroecol_perspective_9","select_one",NA
"1_3_1_1","5","Completely agree",NA,"global","select_one 1_3_1_1","_1_3_2_1_7","I would prefer to eat food that is grown locally.","agroecol_perspective_10","select_one",NA
"1_3_1_1","5","Completely agree",NA,"global","select_one 1_3_1_1","_1_3_1_1_10","I would prefer that the food I buy is produced and processed in ways that provide a fair wage and good conditions for workers.","agroecol_perspective_11","select_one",NA
"1_3_1_1","5","Completely agree",NA,"global","select_one 1_3_1_1","_1_3_2_1_3","I think shifting to agroecological farming is a sensible business decision.","agroecol_perspective_12","select_one",NA
"1_3_1_1","5","Completely agree",NA,"global","select_one 1_3_1_1","_1_3_2_1_4","I think current farming systems are working well and do not need changing.","agroecol_perspective_13","select_one",NA
"1_3_1_1","4","Somewhat agree",NA,"global","select_one 1_3_1_1","_1_3_1_1_1","I care a lot about nature.","agroecol_perspective_1","select_one",NA
"1_3_1_1","4","Somewhat agree",NA,"global","select_one 1_3_1_1","_1_3_1_1_2","Being in nature benefits me.","agroecol_perspective_2","select_one",NA
"1_3_1_1","4","Somewhat agree",NA,"global","select_one 1_3_1_1","_1_3_1_1_3","I live in a place where most people take good care of the land and nature.","agroecol_perspective_3","select_one",NA
"1_3_1_1","4","Somewhat agree",NA,"global","select_one 1_3_1_1","_1_3_1_1_4","I take care of the land and nature on my farm.","agroecol_perspective_4","select_one",NA
"1_3_1_1","4","Somewhat agree",NA,"global","select_one 1_3_1_1","_1_3_1_1_5","I identify myself as an agroecological farmer.","agroecol_perspective_5","select_one",NA
"1_3_1_1","4","Somewhat agree",NA,"global","select_one 1_3_1_1","_1_3_1_1_6","I have power and freedom to change farm production practices if I want to.","agroecol_perspective_6","select_one",NA
"1_3_1_1","4","Somewhat agree",NA,"global","select_one 1_3_1_1","_1_3_1_1_7","If I work together with others in my community, we have power and freedom to solve problems facing farmers.","agroecol_perspective_7","select_one",NA
"1_3_1_1","4","Somewhat agree",NA,"global","select_one 1_3_1_1","_1_3_2_1_5","I make decisions about what food to buy based primarily on price.","agroecol_perspective_8","select_one",NA
"1_3_1_1","4","Somewhat agree",NA,"global","select_one 1_3_1_1","_1_3_2_1_6","I would prefer to eat food that is produced without chemical inputs.","agroecol_perspective_9","select_one",NA
"1_3_1_1","4","Somewhat agree",NA,"global","select_one 1_3_1_1","_1_3_2_1_7","I would prefer to eat food that is grown locally.","agroecol_perspective_10","select_one",NA
"1_3_1_1","4","Somewhat agree",NA,"global","select_one 1_3_1_1","_1_3_1_1_10","I would prefer that the food I buy is produced and processed in ways that provide a fair wage and good conditions for workers.","agroecol_perspective_11","select_one",NA
"1_3_1_1","4","Somewhat agree",NA,"global","select_one 1_3_1_1","_1_3_2_1_3","I think shifting to agroecological farming is a sensible business decision.","agroecol_perspective_12","select_one",NA
"1_3_1_1","4","Somewhat agree",NA,"global","select_one 1_3_1_1","_1_3_2_1_4","I think current farming systems are working well and do not need changing.","agroecol_perspective_13","select_one",NA
"1_3_1_1","3","Neutral",NA,"global","select_one 1_3_1_1","_1_3_1_1_1","I care a lot about nature.","agroecol_perspective_1","select_one",NA
"1_3_1_1","3","Neutral",NA,"global","select_one 1_3_1_1","_1_3_1_1_2","Being in nature benefits me.","agroecol_perspective_2","select_one",NA
"1_3_1_1","3","Neutral",NA,"global","select_one 1_3_1_1","_1_3_1_1_3","I live in a place where most people take good care of the land and nature.","agroecol_perspective_3","select_one",NA
"1_3_1_1","3","Neutral",NA,"global","select_one 1_3_1_1","_1_3_1_1_4","I take care of the land and nature on my farm.","agroecol_perspective_4","select_one",NA
"1_3_1_1","3","Neutral",NA,"global","select_one 1_3_1_1","_1_3_1_1_5","I identify myself as an agroecological farmer.","agroecol_perspective_5","select_one",NA
"1_3_1_1","3","Neutral",NA,"global","select_one 1_3_1_1","_1_3_1_1_6","I have power and freedom to change farm production practices if I want to.","agroecol_perspective_6","select_one",NA
"1_3_1_1","3","Neutral",NA,"global","select_one 1_3_1_1","_1_3_1_1_7","If I work together with others in my community, we have power and freedom to solve problems facing farmers.","agroecol_perspective_7","select_one",NA
"1_3_1_1","3","Neutral",NA,"global","select_one 1_3_1_1","_1_3_2_1_5","I make decisions about what food to buy based primarily on price.","agroecol_perspective_8","select_one",NA
"1_3_1_1","3","Neutral",NA,"global","select_one 1_3_1_1","_1_3_2_1_6","I would prefer to eat food that is produced without chemical inputs.","agroecol_perspective_9","select_one",NA
"1_3_1_1","3","Neutral",NA,"global","select_one 1_3_1_1","_1_3_2_1_7","I would prefer to eat food that is grown locally.","agroecol_perspective_10","select_one",NA
"1_3_1_1","3","Neutral",NA,"global","select_one 1_3_1_1","_1_3_1_1_10","I would prefer that the food I buy is produced and processed in ways that provide a fair wage and good conditions for workers.","agroecol_perspective_11","select_one",NA
"1_3_1_1","3","Neutral",NA,"global","select_one 1_3_1_1","_1_3_2_1_3","I think shifting to agroecological farming is a sensible business decision.","agroecol_perspective_12","select_one",NA
"1_3_1_1","3","Neutral",NA,"global","select_one 1_3_1_1","_1_3_2_1_4","I think current farming systems are working well and do not need changing.","agroecol_perspective_13","select_one",NA
"1_3_1_1","2","Somewhat disagree",NA,"global","select_one 1_3_1_1","_1_3_1_1_1","I care a lot about nature.","agroecol_perspective_1","select_one",NA
"1_3_1_1","2","Somewhat disagree",NA,"global","select_one 1_3_1_1","_1_3_1_1_2","Being in nature benefits me.","agroecol_perspective_2","select_one",NA
"1_3_1_1","2","Somewhat disagree",NA,"global","select_one 1_3_1_1","_1_3_1_1_3","I live in a place where most people take good care of the land and nature.","agroecol_perspective_3","select_one",NA
"1_3_1_1","2","Somewhat disagree",NA,"global","select_one 1_3_1_1","_1_3_1_1_4","I take care of the land and nature on my farm.","agroecol_perspective_4","select_one",NA
"1_3_1_1","2","Somewhat disagree",NA,"global","select_one 1_3_1_1","_1_3_1_1_5","I identify myself as an agroecological farmer.","agroecol_perspective_5","select_one",NA
"1_3_1_1","2","Somewhat disagree",NA,"global","select_one 1_3_1_1","_1_3_1_1_6","I have power and freedom to change farm production practices if I want to.","agroecol_perspective_6","select_one",NA
"1_3_1_1","2","Somewhat disagree",NA,"global","select_one 1_3_1_1","_1_3_1_1_7","If I work together with others in my community, we have power and freedom to solve problems facing farmers.","agroecol_perspective_7","select_one",NA
"1_3_1_1","2","Somewhat disagree",NA,"global","select_one 1_3_1_1","_1_3_2_1_5","I make decisions about what food to buy based primarily on price.","agroecol_perspective_8","select_one",NA
"1_3_1_1","2","Somewhat disagree",NA,"global","select_one 1_3_1_1","_1_3_2_1_6","I would prefer to eat food that is produced without chemical inputs.","agroecol_perspective_9","select_one",NA
"1_3_1_1","2","Somewhat disagree",NA,"global","select_one 1_3_1_1","_1_3_2_1_7","I would prefer to eat food that is grown locally.","agroecol_perspective_10","select_one",NA
"1_3_1_1","2","Somewhat disagree",NA,"global","select_one 1_3_1_1","_1_3_1_1_10","I would prefer that the food I buy is produced and processed in ways that provide a fair wage and good conditions for workers.","agroecol_perspective_11","select_one",NA
"1_3_1_1","2","Somewhat disagree",NA,"global","select_one 1_3_1_1","_1_3_2_1_3","I think shifting to agroecological farming is a sensible business decision.","agroecol_perspective_12","select_one",NA
"1_3_1_1","2","Somewhat disagree",NA,"global","select_one 1_3_1_1","_1_3_2_1_4","I think current farming systems are working well and do not need changing.","agroecol_perspective_13","select_one",NA
"1_3_1_1","1","Completely disagree",NA,"global","select_one 1_3_1_1","_1_3_1_1_1","I care a lot about nature.","agroecol_perspective_1","select_one",NA
"1_3_1_1","1","Completely disagree",NA,"global","select_one 1_3_1_1","_1_3_1_1_2","Being in nature benefits me.","agroecol_perspective_2","select_one",NA
"1_3_1_1","1","Completely disagree",NA,"global","select_one 1_3_1_1","_1_3_1_1_3","I live in a place where most people take good care of the land and nature.","agroecol_perspective_3","select_one",NA
"1_3_1_1","1","Completely disagree",NA,"global","select_one 1_3_1_1","_1_3_1_1_4","I take care of the land and nature on my farm.","agroecol_perspective_4","select_one",NA
"1_3_1_1","1","Completely disagree",NA,"global","select_one 1_3_1_1","_1_3_1_1_5","I identify myself as an agroecological farmer.","agroecol_perspective_5","select_one",NA
"1_3_1_1","1","Completely disagree",NA,"global","select_one 1_3_1_1","_1_3_1_1_6","I have power and freedom to change farm production practices if I want to.","agroecol_perspective_6","select_one",NA
"1_3_1_1","1","Completely disagree",NA,"global","select_one 1_3_1_1","_1_3_1_1_7","If I work together with others in my community, we have power and freedom to solve problems facing farmers.","agroecol_perspective_7","select_one",NA
"1_3_1_1","1","Completely disagree",NA,"global","select_one 1_3_1_1","_1_3_2_1_5","I make decisions about what food to buy based primarily on price.","agroecol_perspective_8","select_one",NA
"1_3_1_1","1","Completely disagree",NA,"global","select_one 1_3_1_1","_1_3_2_1_6","I would prefer to eat food that is produced without chemical inputs.","agroecol_perspective_9","select_one",NA
"1_3_1_1","1","Completely disagree",NA,"global","select_one 1_3_1_1","_1_3_2_1_7","I would prefer to eat food that is grown locally.","agroecol_perspective_10","select_one",NA
"1_3_1_1","1","Completely disagree",NA,"global","select_one 1_3_1_1","_1_3_1_1_10","I would prefer that the food I buy is produced and processed in ways that provide a fair wage and good conditions for workers.","agroecol_perspective_11","select_one",NA
"1_3_1_1","1","Completely disagree",NA,"global","select_one 1_3_1_1","_1_3_2_1_3","I think shifting to agroecological farming is a sensible business decision.","agroecol_perspective_12","select_one",NA
"1_3_1_1","1","Completely disagree",NA,"global","select_one 1_3_1_1","_1_3_2_1_4","I think current farming systems are working well and do not need changing.","agroecol_perspective_13","select_one",NA
"1_3_1_1","0","I don't know",NA,"global","select_one 1_3_1_1","_1_3_1_1_1","I care a lot about nature.","agroecol_perspective_1","select_one",NA
"1_3_1_1","0","I don't know",NA,"global","select_one 1_3_1_1","_1_3_1_1_2","Being in nature benefits me.","agroecol_perspective_2","select_one",NA
"1_3_1_1","0","I don't know",NA,"global","select_one 1_3_1_1","_1_3_1_1_3","I live in a place where most people take good care of the land and nature.","agroecol_perspective_3","select_one",NA
"1_3_1_1","0","I don't know",NA,"global","select_one 1_3_1_1","_1_3_1_1_4","I take care of the land and nature on my farm.","agroecol_perspective_4","select_one",NA
"1_3_1_1","0","I don't know",NA,"global","select_one 1_3_1_1","_1_3_1_1_5","I identify myself as an agroecological farmer.","agroecol_perspective_5","select_one",NA
"1_3_1_1","0","I don't know",NA,"global","select_one 1_3_1_1","_1_3_1_1_6","I have power and freedom to change farm production practices if I want to.","agroecol_perspective_6","select_one",NA
"1_3_1_1","0","I don't know",NA,"global","select_one 1_3_1_1","_1_3_1_1_7","If I work together with others in my community, we have power and freedom to solve problems facing farmers.","agroecol_perspective_7","select_one",NA
"1_3_1_1","0","I don't know",NA,"global","select_one 1_3_1_1","_1_3_2_1_5","I make decisions about what food to buy based primarily on price.","agroecol_perspective_8","select_one",NA
"1_3_1_1","0","I don't know",NA,"global","select_one 1_3_1_1","_1_3_2_1_6","I would prefer to eat food that is produced without chemical inputs.","agroecol_perspective_9","select_one",NA
"1_3_1_1","0","I don't know",NA,"global","select_one 1_3_1_1","_1_3_2_1_7","I would prefer to eat food that is grown locally.","agroecol_perspective_10","select_one",NA
"1_3_1_1","0","I don't know",NA,"global","select_one 1_3_1_1","_1_3_1_1_10","I would prefer that the food I buy is produced and processed in ways that provide a fair wage and good conditions for workers.","agroecol_perspective_11","select_one",NA
"1_3_1_1","0","I don't know",NA,"global","select_one 1_3_1_1","_1_3_2_1_3","I think shifting to agroecological farming is a sensible business decision.","agroecol_perspective_12","select_one",NA
"1_3_1_1","0","I don't know",NA,"global","select_one 1_3_1_1","_1_3_2_1_4","I think current farming systems are working well and do not need changing.","agroecol_perspective_13","select_one",NA
"1_4_2_1","Crops","Crops (including perennial crops)",NA,"global","select_multiple 1_4_2_1","_1_4_2_1","In the last 12 months [add country meaning], what did you produce on your farm?","farm_products","select_multiple",NA
"1_4_2_1","Livestock","Livestock",NA,"global","select_multiple 1_4_2_1","_1_4_2_1","In the last 12 months [add country meaning], what did you produce on your farm?","farm_products","select_multiple",NA
"1_4_2_1","Fish","Fish",NA,"global","select_multiple 1_4_2_1","_1_4_2_1","In the last 12 months [add country meaning], what did you produce on your farm?","farm_products","select_multiple",NA
"1_4_2_1","Trees","Trees (e.g., for wood, bark, rubber)",NA,"global","select_multiple 1_4_2_1","_1_4_2_1","In the last 12 months [add country meaning], what did you produce on your farm?","farm_products","select_multiple",NA
"1_4_2_1","Honey","Honey",NA,"global","select_multiple 1_4_2_1","_1_4_2_1","In the last 12 months [add country meaning], what did you produce on your farm?","farm_products","select_multiple",NA
"1_4_2_1","other","Other (please specify)",NA,"global","select_multiple 1_4_2_1","_1_4_2_1","In the last 12 months [add country meaning], what did you produce on your farm?","farm_products","select_multiple",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_2_1","Select the share of harvested CROPS (including perennial crops) used for: Household consumption","use_percentage_crops_household_consumption","select_one",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_2_2","Select the share of harvested CROPS (including perennial crops) used for: Own livestock consumption","use_percentage_crops_own_livestock_consumption","select_one",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_2_3","Select the share of harvested CROPS (including perennial crops) used for: Sales","use_percentage_crops_sales","select_one",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_2_4","Select the share of harvested CROPS (including perennial crops) used for: Gifts","use_percentage_crops_gift","select_one",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_2_5","Select the share of harvested CROPS (including perennial crops) used for: Wasted/lost","use_percentage_crops_wasted","select_one",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_2_6","Select the share of harvested CROPS (including perennial crops) used for: Other use","use_percentage_crops_other","select_one",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_3_1","Select the share of produced LIVESTOCK used for: Household consumption","use_percentage_livestock_household_consumption","select_one",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_3_3","Select the share of produced LIVESTOCK used for: Household use","use_percentage_livestock_own_livestock_consumption","select_one",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_3_4","Select the share of produced LIVESTOCK used for: Sales","use_percentage_livestock_sales","select_one",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_3_5","Select the share of produced LIVESTOCK used for: Gifts","use_percentage_livestock_gift","select_one",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_3_6","Select the share of produced LIVESTOCK used for: Wasted/lost","use_percentage_livestock_wasted","select_one",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_3_7","Select the share of produced LIVESTOCK used for: Other use","use_percentage_livestock_other","select_one",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_4_1","Select the share of produced FISH used for: Household consumption","use_percentage_fish_household_consumption","select_one",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_4_2","Select the share of produced FISH used for: Own livestock consumption","use_percentage_fish_own_fish_consumption","select_one",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_4_3","Select the share of produced FISH used for: Sales","use_percentage_fish_sales","select_one",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_4_4","Select the share of produced FISH used for: Gifts","use_percentage_fish_gift","select_one",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_4_5","Select the share of produced FISH used for: Wasted/lost","use_percentage_fish_wasted","select_one",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_4_6","Select the share of produced FISH used for: Other use","use_percentage_fish_other","select_one",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_5_1","Select the share of produced WOOD/BARK/RUBBER/ETC (FROM TREES) used for: Household use for cooking","use_percentage_trees_h_cooking","select_one",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_5_2","Select the share of produced WOOD/BARK/RUBBER/ETC (FROM TREES) used for: Household use for building","use_percentage_trees_h_building","select_one",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_5_3","Select the share of produced WOOD/BARK/RUBBER/ETC (FROM TREES) used for: Household use for heating","use_percentage_trees_h_heating","select_one",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_5_4","Select the share of produced WOOD/BARK/RUBBER/ETC (FROM TREES) used for: Household other use","use_percentage_trees_h_other","select_one",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_5_5","Select the share of produced WOOD/BARK/RUBBER/ETC (FROM TREES) used for: Sales","use_percentage_trees_sales","select_one",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_5_6","Select the share of produced WOOD/BARK/RUBBER/ETC (FROM TREES) used for: Gifts","use_percentage_trees_gift","select_one",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_5_7","Select the share of produced WOOD/BARK/RUBBER/ETC (FROM TREES) used for: Wasted/lost","use_percentage_trees_wasted","select_one",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_5_8","Select the share of produced WOOD/BARK/RUBBER/ETC (FROM TREES) used for: Other use","use_percentage_trees_other","select_one",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_6_1","Select the share of produced HONEY used for: Household consumption","use_percentage_honey_household_consumption","select_one",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_6_3","Select the share of produced HONEY used for: Sales","use_percentage_honey_sales","select_one",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_6_4","Select the share of produced HONEY used for: Gifts","use_percentage_honey_gift","select_one",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_6_5","Select the share of produced HONEY used for: Wasted/lost","use_percentage_honey_wasted","select_one",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_6_6","Select the share of produced HONEY used for: Other use","use_percentage_honey_other","select_one",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_7_1","Select the share of produced OTHER ON-FARM PRODUCT used for: Household consumption","use_percentage_other_household_consumption","select_one",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_7_2","Select the share of produced OTHER ON-FARM PRODUCT used for: Own livestock consumption","use_percentage_other_own_livestock_consumption","select_one",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_7_3","Select the share of produced OTHER ON-FARM PRODUCT used for: On-farm use","use_percentage_other_on_farm_use","select_one",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_7_4","Select the share of produced OTHER ON-FARM PRODUCT used for: Sales","use_percentage_other_sales","select_one",NA
"1_4_2_2","0","None",NA,"global","select_one 1_4_2_2","_1_4_2_7_5","Select the share of produced OTHER ON-FARM PRODUCT used for: Gifts","use_percentage_other_gift","select_one",NA
