"column_name_new","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","category_1","sub_category","constructs","constructs_type","weights","factor","metric","metric_type","description"
"nearest_distance_dfs_km",14,199,0.857146971689391,0.722511536161983,0.621131573292996,0.739823500552013,0.479748591689887,0.0391423512735155,3.58021761156192,3.5410752602884,1.45405815930414,1.65968617270861,0.051217484838693,"farmers_behaviour","Social factors: stem from farmers’ interactions with others —such as peers or advisors—and encompass elements like social norms and injunctive norms. Injunctive norms encompass what farmers believe others expect of them. Social norms reflect both shared expectations about appropriate behaviour and individuals’ perceptions of how common or accepted certain practices are among others (Dessart et al. 2019).","social_descriptive_norm_neighbour_adopter","composite","mode_B","Distance to the nearest farm that implements DFS","km","continuous","Distance to the nearest farm that implements diversified farming systems (DFS)."
"livestock_count_tlu",15,199,3.93758793969849,6.91477850905933,0.7,2.38360248447205,1.03782,0,51.3,51.3,2.97571799158121,12.2608895239608,0.490175652186772,"financial_capital","assets","assets","composite","mode_B","Livestock count","TLU","continuous","Number of livestock the household possesses, measured in Tropical Livestock Units (TLU)."
"assets_count",16,199,5.55276381909548,4.95188770244987,4,4.98136645962733,2.9652,0,40,40,2.21831973083486,10.2014673608462,0.351030012157862,"financial_capital","assets","assets","composite","mode_B","Number of assets","number of assets","continuous","Number of different assets the household possesses (e.g., car, motorbike, bicycle, mobile phone, tractor)."
"income_amount_nonfarm",17,199,8.30491735486478,16.7775283276478,0,5.46898979155535,0,0,143.338738220149,143.338738220149,3.41127480737387,20.0223477968519,1.18932744979645,"financial_capital","income","non_farm_income","composite","mode_B","Non-farm income amount","USD","continuous","Total income the household earned from non-farm sources (e.g., family business, casual labour, formal labour, transfers, leasing land, subsidies, other) in the last 12 months."
"num_income_sources",18,199,1.99497487437186,0.76209100597351,2,1.97515527950311,1.4826,1,4,3,0.212690489819596,-0.745095220410994,0.0540231990640517,"financial_capital","income","income","composite","mode_B","Number of income sources","number of sources","continuous","How many income sources did the household have in the last 12 months?"
"income_amount_onfarm",19,199,3.89570853437933,9.3708588160749,0.0427451505626687,1.45255632549729,0.0633739602242126,0,28.4939173650749,28.4939173650749,2.22094521475666,2.98521101719289,0.664282568950216,"financial_capital","income","on_farm_income","composite","mode_A","On-farm income amount","USD","continuous","Total income the household earned from on-farm sources (e.g., crop, livestock, fish) in the last 12 months."
"income_amount_total",20,199,12.2006258892441,17.8298818414231,0.854903011253373,10.0310566971146,1.26747920448425,0,144.47860890182,144.47860890182,2.5382661751008,13.59136940883,1.26392681249042,"financial_capital","income","income","composite","mode_B","Total income amount","USD","continuous","Total income the household earned from both on-farm and non-farm sources during the last 12 months."
"num_children",21,199,2.17085427135678,1.68203663644187,2,2.03726708074534,1.4826,0,8,8,0.688342410816041,0.471737955069006,0.119236415770908,"human_capital","household","household_size","composite","mode_B","Children (<18 years old) in household","number of people","continuous","Total number of children (<18 years old) living in the household."
"num_people",22,199,4.9748743718593,2.32126138194943,5,4.87577639751553,2.9652,1,11,10,0.408766603632501,-0.187561410319723,0.164549856557563,"human_capital","household","household_size","composite","mode_B","Household size","number of people","continuous","Total number of people living in the household."
"num_adults_old",23,199,0.28643216080402,0.60583595653707,0,0.149068322981366,0,0,3,3,2.21185188770778,4.60009382158431,0.0429465722907376,"human_capital","household","household_size","composite","mode_B","Total adults (>65 years old) in household","number of people","continuous","Total number of adults (>65 years old) living in the household."
"num_adults_total",24,199,2.80402010050251,1.34344044974765,2,2.67080745341615,1.4826,1,8,7,1.02920115201847,0.961038810642699,0.0952339684874056,"human_capital","household","household_size","composite","mode_B","Total adults (≥18 years old) in household","number of people","continuous","Total number of adults (≥18 years old) living in the household."
"num_adults_wa",25,199,2.51758793969849,1.2626900141258,2,2.40993788819876,1.4826,0,6,6,0.776819257316517,0.477083635723341,0.0895097218765488,"human_capital","household","household_size","composite","mode_B","Total adults (18-65 years old) in household","number of people","continuous","Total number of adults aged between 18 and 65 years old living in the household."
"age",26,199,53.2462311557789,14.3479373580716,51,52.8509316770186,14.826,22,90,68,0.28672904443872,-0.546153739345842,1.01709831237739,"human_capital","household_head","household_head_age","composite","mode_A","Age","years","continuous","Age of the household head (in years)."
"num_occupation_secondary_list",27,199,0.175879396984925,0.394688351072542,0,0.093167701863354,0,0,2,2,1.9323319541976,2.47752557042661,0.0279787153911056,"human_capital","household_head","household_head_occupation","composite","mode_B","Number of secondary occupations","number of occupations","continuous","Total number of secondary occupations held by the farmer."
"numHA_hlabour_permanent_total",28,199,0.0452937436874136,0.371861325781718,0,0,0,0,3.95368260824442,3.95368260824442,9.27775031285275,87.8406511471355,0.0263605504716142,"human_capital","labour","labour_hired","composite","mode_B","Permanent hired, free, or exchange labour density","number of people/ha","continuous","Number of permanent hired, free, or exchange workers per hectare contributing to farming activities."
"numHA_nhlabour_permanent_total",29,199,2.17904894702942,3.20445660955113,1.23552581507638,1.56271182425011,1.83179057343224,0,24.7105163015276,24.7105163015276,3.28639733798935,15.9744595187306,0.227157906277553,"human_capital","labour","labour_household","composite","mode_B","Permanent household labour density","number of people/ha","continuous","Number of household members working permanently in farming activities per hectare."
"numHA_hlabour_seasonal_total",30,199,0.432004321428591,1.12566357009153,0,0.146863366985407,0,0,7.90736521648883,7.90736521648883,3.62915927181923,15.5931389560595,0.0797961748000472,"human_capital","labour","labour_hired","composite","mode_B","Seasonal hired, free, or exchange labour density","number of people/ha","continuous","Number of seasonal hired, free, or exchange workers per hectare contributing to farming activities."
"numHA_nhlabour_seasonal_total",31,199,0.103596134386878,0.651658049186946,0,0,0,0,7.41315489045828,7.41315489045828,8.62871384062219,84.0199486755489,0.0461948143161024,"human_capital","labour","labour_household","composite","mode_B","Seasonal household labour density","number of people/ha","continuous","Number of household members working seasonally in farming activities per hectare."
"total_main_crops_cropland_area",32,199,2.57746343638191,2.72485916553042,1.214058,2.11087736608696,1.1999749272,0.00809372,14.568696,14.56060228,1.87120158870262,4.07814107551362,0.193160144873921,"natural_capital","Land availability","cropland_area","composite","mode_B","Area of three main crops grown","hectares","continuous","Total area of land dedicated to the household's three main crops (in hectares)."
"sfp_total_area",33,199,2.3264040201005,3.09696951619259,1,1.70406459627329,1.4826,0,16,16,1.81167197287072,3.22323810956748,0.219538348251269,"natural_capital","Land availability",NA,NA,NA,"Area under sustainable agricultural practices","hectares","continuous","Total area of land managed under sustainable agricultural practices (e.g., crop rotation, mulching farming, agroforestry)."
"cropland_area",34,199,1.60053923079397,1.22499961188166,1.214058,1.42605313813665,1.1999749272,0,6.07029,6.07029,1.28799573842216,1.37603656826786,0.0868379201005417,"natural_capital","Land availability","cropland_area","composite","mode_B","Cropland area","hectares","continuous","Total area of land used for growing crops (in hectares)."
"farm_size",35,199,2.22534594442211,1.52628621527496,2.02343,2.09398612434783,1.7999623908,0,7.082005,7.082005,0.794281375773597,-0.488809249373049,0.108195561147172,"natural_capital","Land availability","farm_size","composite","mode_B","Farm size","hectares","continuous","Total size of the farm, including owned land, leased land, and land with use rights."
"fishland_area",36,199,0,0,0,0,0,0,0,0,NA,NA,0,"natural_capital","Land availability",NA,NA,NA,"Fishland area","hectares","continuous","Total surface area of water bodies, wetlands, paddy fields, or other aquaculture systems used for fish production (in hectares)."
"livestockland_area",37,199,179.970528300613,1118.89377514417,0.404686,3.23619853467081,0.5999874636,0,10117.15,10117.15,7.83362341308585,63.4996448573436,79.3162767600529,"natural_capital","Land availability",NA,NA,NA,"Livestock land area","hectares","continuous","Total area of land dedicated to livestock production, including owned and shared land (in hectares)."
"total_production_area",38,199,181.571067531407,1118.92176404912,2.832802,4.92919361814907,3.011937067272,0,10119.17343,10119.17343,7.83339030814191,63.4985459159011,79.3182608409196,"natural_capital","Land availability",NA,NA,NA,"Total production area","hectares","continuous","Total area of land used for agricultural production, including crops, livestock, and fish production (in hectares)."
"months_count_water_accessibility_difficulty_drought_year",39,199,4.61306532663317,2.02659842158666,5,4.56521739130435,1.4826,1,11,10,0.276811578389958,0.103463346786736,0.143661753116234,"natural_capital","Water shortage","water_shortage","composite","mode_B","Months of water shortage during a drought year","number of months","continuous","How many months of the year does the household find it difficult to access enough water for agricultural needs (e.g., growing crops, drinking water for livestock) during a drought year?"
"months_count_water_accessibility_difficulty_flood_year",40,199,1.96482412060302,1.26481876540248,2,1.7639751552795,1.4826,1,12,11,2.98623244260041,18.3077160605237,0.0896606250535664,"natural_capital","Water shortage","water_shortage","composite","mode_B","Months of water shortage during a flood year","number of months","continuous","How many months of the year does the household find it difficult to access enough water for agricultural needs (e.g., growing crops, drinking water for livestock) during a flood year?"
"months_count_water_accessibility_difficulty_normal_year",41,199,2.49246231155779,1.48006738426203,2,2.30434782608696,1.4826,1,12,11,1.93959094180064,7.98493116940162,0.10491919508492,"natural_capital","Water shortage","water_shortage","composite","mode_B","Months of water shortage during a normal year","number of months","continuous","How many months of the year does the household find it difficult to access enough water for agricultural needs (e.g., growing crops, drinking water for livestock) during a normal year?"
"years_farming_land",42,199,24.9246231155779,16.4181270457557,23,23.0186335403727,16.3086,3,86,83,1.17290997478997,1.63426410348753,1.16385016841752,"natural_capital",NA,"years_of_farming","composite","mode_A","Years of farming land","years","continuous","Number of years the household has been farming this land."
"dfs_agroforestry_area",43,199,0.00203359798994975,0.0286874299330003,0,0,0,0,0.404686,0.404686,13.8947840615855,192.030074998106,0.00203359798994975,"outcome","diversified farming system",NA,NA,NA,"Agroforestry area","hectares","continuous","Area of cropland under agroforestry"
"dfs_cover_crops_area",44,199,0.103929058874372,0.351346726230813,0,0.0128343274285714,0,0,2.428116,2.428116,4.41484929120872,20.6057110746019,0.0249063090666233,"outcome","diversified farming system",NA,NA,NA,"Cover crops area","hectares","continuous","Area of cropland under cover crops"
"dfs_crop_rotation_area",45,199,0.566483123276382,0.940983454908822,0,0.359597444298137,0,0,4.856232,4.856232,2.23429006777896,5.51359340667514,0.0667045485408673,"outcome","diversified farming system",NA,NA,NA,"Crop rotation area","hectares","continuous","Area of cropland under crop rotation"
"dfs_total_area",46,199,2.13849246231156,2.97131406135493,1,1.51590062111801,1.4826,0,14.1,14.1,1.76998416988036,2.73894811612609,0.210630869227149,"outcome","diversified farming system","dfs_area","composite","mode_A","DFS area","hectares","continuous","Total area under diversified farming systems"
"dfs_fallow_area",47,199,0.0775898977085427,0.277528795891814,0,0.000150814658385093,0,0,1.618744,1.618744,3.96430857367189,15.9717834515547,0.0196734947256302,"outcome","diversified farming system",NA,NA,NA,"Fallow area","hectares","continuous","Area of cropland under fallow"
"dfs_hedgerows_area",48,199,0.00203359798994975,0.0286874299330003,0,0,0,0,0.404686,0.404686,13.8947840615855,192.030074998106,0.00203359798994975,"outcome","diversified farming system",NA,NA,NA,"Hedgerows area","hectares","continuous","Area of cropland under hedgerows"
"dfs_homegarden_area",49,199,0.00040671959798995,0.00404675729172746,0,0,0,0,0.0404686,0.0404686,9.75000124663594,93.5326130691722,0.000286867018533603,"outcome","diversified farming system",NA,NA,NA,"Home garden area","hectares","continuous","Area of cropland under home garden"
"dfs_intercropping_area",50,199,0.107752223095477,0.267637413477226,0,0.0389252633291925,0,0,1.618744,1.618744,3.15544524850575,11.2472875507597,0.018972313217105,"outcome","diversified farming system",NA,NA,NA,"Intercropping area","hectares","continuous","Area of cropland under intercropping"
"dfs_strip_vegetation_area",51,199,0.00040671959798995,0.00573748598660007,0,0,0,0,0.0809372,0.0809372,13.8947840615855,192.030074998106,0.00040671959798995,"outcome","diversified farming system",NA,NA,NA,"Natural strip vegetation area","hectares","continuous","Area of cropland under natural strip vegetation"
"dfs_pullpush_area",52,199,0.00478302247236181,0.0345485487531138,0,0,0,0,0.404686,0.404686,9.55845695374382,98.7855645047062,0.00244908168713965,"outcome","diversified farming system",NA,NA,NA,"Push-pull","hectares","continuous","Area of cropland under pull-push"
"income_amount_subsidy",53,199,0.0441771489064766,0.255489529274356,0,0.00132748914790896,0,0,3.41961204501349,3.41961204501349,11.6861536468875,150.227828585954,0.0181111725379018,"P&I_context_financial_risk_management","financial risk management","subsidies","composite","mode_B","Amount of subsidy received as income support","USD","continuous","Total amount of income support received as a subsidy (in USD)."
"num_info_exchange_extension",54,199,6.50251256281407,8.14754990243817,3,5.24844720496894,2.9652,0,68,68,3.9413848100968,23.6728389334952,0.577564499270592,"P&I_context_knowledge","knowledge","information_access_frequency","composite","mode_B","Extension frequency","number of exchanges/year","continuous","How frequently does the farmer exchange information with agricultural extensionists?"
"num_info_exchange_government",55,199,4.14070351758794,6.75549170597019,3,2.90683229813665,4.4478,0,56,56,4.62824906892917,29.0179497745482,0.478884110095197,"P&I_context_knowledge","knowledge","information_access_frequency","composite","mode_B","Frequency of information exchange with government","number of exchanges/year","continuous","How frequently does the farmer exchange information with the government?"
"num_info_exchange_ngo",56,199,3.33668341708543,4.22620624765923,2,2.50310559006211,2.9652,0,25,25,2.10884506921113,5.4805087915152,0.299587817745443,"P&I_context_knowledge","knowledge","information_access_frequency","composite","mode_B","Frequency of information exchange with NGOs","number of exchanges/year","continuous","How frequently does the farmer exchange information with NGOs?"
"num_info_exchange_researchers",57,199,3.61809045226131,3.69887703022233,3,2.96273291925466,1.4826,0,17,17,1.56302171697265,1.84925404402142,0.262206440636166,"P&I_context_knowledge","knowledge","information_access_frequency","composite","mode_B","Frequency of information exchange with researchers","number of exchanges/year","continuous","How frequently does the farmer exchange information with researchers?"
"num_info_exchange_sources",58,199,5.11557788944724,1.82067490614115,6,5.32919254658385,1.4826,0,7,7,-0.830030206589023,-0.272914044545096,0.129064222139378,"P&I_context_knowledge","knowledge","informantion_sources","composite","mode_B","Number of information sources","number of sources","continuous","Number of different information sources the farmer uses regarding farm management."
"land_tenure_hold_area",59,199,2.05615059165829,1.49861401235348,1.618744,1.92180605602484,1.1999749272,0,7.082005,7.082005,0.876860702835,-0.0904806074326556,0.106233930691951,"P&I_context_land_tenure","land tenure","hold_use_right_land","composite","mode_B","Area of land hold use rights","ha","continuous","Total area of land that the household currently holds use rights to, either alone or jointly with someone else."
"land_tenure_lease_area",60,199,0.0227762974874372,0.163727919758802,0,0,0,0,1.618744,1.618744,7.70195070334746,61.8065035619947,0.0116063645052127,"P&I_context_land_tenure","land tenure","leased_land","composite","mode_B","Area of land leases","ha","continuous","Total area of land that the household currently leases from another person."
"land_tenure_own_area",61,199,0.146419055276382,0.7959498848437,0,0,0,0,4.856232,4.856232,5.49974910363733,28.951607929106,0.0564233913494248,"P&I_context_land_tenure","land tenure","owned_land","composite","mode_B","Area of land owns","ha","continuous","Total area of land that the household currently owns."
"land_tenure_hold_proportion",62,199,94.8324958123953,21.1071201536481,100,100,0,0,100,100,-4.11876012606281,15.4698118992548,1.49624407687738,"P&I_context_land_tenure","land tenure","hold_use_right_land","composite","mode_B","Proportion of land hold use rights","%","continuous","Proportion of the total farm area that the household currently holds use rights to, either alone or jointly with someone else."
"land_tenure_lease_proportion",63,199,0.644891122278057,4.1695377821011,0,0,0,0,33.3333333333333,33.3333333333333,6.62845786393807,44.2460965096002,0.295570696730361,"P&I_context_land_tenure","land tenure","leased_land","composite","mode_B","Proportion of land leases","%","continuous","Proportion of the total farm area that the household currently leases from another person."
"land_tenure_own_proportion",64,199,4.02010050251256,19.6925766147354,0,0,0,0,100,100,4.64630359156869,19.6871430609333,1.39596974403726,"P&I_context_land_tenure","land tenure","owned_land","composite","mode_B","Proportion of land owns","%","continuous","Proportion of the total farm area that the household currently owns."
"num_sales_channel_crops",65,199,0.477386934673367,0.716501888054743,0,0.335403726708075,0,0,3,3,1.39036118981512,1.25820858410451,0.0507914721794994,"P&I_context_value_chain","value chain",NA,NA,NA,"Crop sales channel","number of channels","continuous","Number of different sales channels used for selling crops."
"num_sales_channel_fish",66,199,0,0,0,0,0,0,0,0,NA,NA,0,"P&I_context_value_chain","value chain",NA,NA,NA,"Fish sales channel","number of channels","continuous","Number of different sales channels used for selling fish."
"num_info_exchange_consumers",67,199,6.91457286432161,18.1755674245819,2,3.00621118012422,2.9652,0,150,150,5.6464059084038,37.3656017897152,1.28843181376479,"P&I_context_value_chain","value chain","market_linkage","composite","mode_B","Frequency of information exchange with consumers","number of exchanges/year","continuous","How frequently does the farmer exchange information with consumers?"
"num_info_exchange_traders",68,199,8.98492462311558,19.2606988206541,2,4.19254658385093,2.9652,0,125,125,3.55174719168794,13.9422437777165,1.36535473892879,"P&I_context_value_chain","value chain","market_linkage","composite","mode_B","Frequency of information exchange with food traders","number of exchanges/year","continuous","How frequently does the farmer exchange information with food traders?"
"num_sales_channel_honey",69,199,0.0050251256281407,0.0708881205008336,0,0,0,0,1,1,13.8947840615855,192.030074998106,0.0050251256281407,"P&I_context_value_chain","value chain",NA,NA,NA,"Honney sales channel","number of channels","continuous","Number of different sales channels used for selling honey."
"num_sales_channel_livestock",70,199,0.517587939698492,0.680494629266003,0,0.403726708074534,0,0,3,3,1.13279633620838,0.755776933542677,0.0482389852795785,"P&I_context_value_chain","value chain",NA,NA,NA,"Livestock sales channel","number of channels","continuous","Number of different sales channels used for selling livestock."
"distance_crop_market",71,199,265.814070351759,258.915142689949,216,230.527950310559,231.2856,0,1272,1272,1.70456298044997,3.78208458712706,18.3540078344956,"physical_capital","distance","distance_crop_market","composite","mode_A","Distance to crop market","min","continuous","Distance to the closest crop market (in minutes)."
"distance_closest_farmland",72,199,14.6030150753769,77.8877604196362,0,5.24844720496894,0,0,1080,1080,12.8800473569239,172.94357904251,5.52131694616722,"physical_capital","distance","distance_farm","composite","mode_A","Distance to farmland","min","continuous","Distance to the closest farmland (in minutes)."
"distance_water_source",73,199,8.31155778894472,13.605310055359,2,5.3167701863354,2.9652,0,96,96,2.88043119015386,10.919699699412,0.964454858655489,"physical_capital","distance","distance_fresh_water_source","composite","mode_A","Distance to fresh water source","min","continuous","Distance to the closest fresh water source (in minutes)."
"distance_livestock_market",74,199,842.949748743719,1194.02773832365,420,600.975155279503,569.3184,0,4320,4320,1.75595532405315,1.6188187923396,84.642382195625,"physical_capital","distance","distance_livestock_market",NA,NA,"Distance to livestock market","min","continuous","Distance to the closest livestock market (in minutes)."
"distance_main_road",75,199,60.3266331658291,69.0594009005913,30,49.1490683229814,44.478,0,360,360,1.36225830632052,1.45056576851902,4.89549113275649,"physical_capital","distance","distance_main_road","composite","mode_A","Distance to main road","min","continuous","Distance to the closest accessible and functioning road suitable for cars (in minutes)."
"irrigated_land_percentage",76,199,1.01507537688442,6.02978917075751,0,0,0,0,50,50,6.27764520249102,40.1198096477823,0.42744042133128,"physical_capital","irrigation","irrigation","composite","mode_B","Irrigated land","percentage","continuous","Percentage of the household's land that is irrigated."
"num_info_exchange_farmers",77,199,10.1708542713568,10.0484158645901,8,8.85093167701863,8.8956,0,80,80,2.37325015963834,11.249442561001,0.712313314651554,"social_capital","Networks","communicate_with_other_farmers","composite","mode_B","Frequency of information exchange with other farmers","number of exchanges/year","continuous","How frequently does the farmer exchange information with other farmers?"
"num_membership",78,199,1.99497487437186,1.96817478754175,1,1.70186335403727,1.4826,0,11,11,1.94869124499857,5.21342921988594,0.139520211505962,"social_capital","Networks","network_membership","composite","mode_B","Number of association/organization memberships","number of institutions","continuous","Number of associations or organizations that the farmer or household members are part of."
"years_in_community",79,199,28.5979899497487,18.1778307642256,26,27.0931677018634,19.2738,2,80,78,0.704795411086361,-0.0134210336756282,1.28859225765819,"social_capital","Networks","years_in_community","composite","mode_A","Years in the community","years","continuous","How many years has the farmer lived in the community?"
