"list_name","name_choice","label_choice","name_new","country"
"1_2_1_3","kenya","Kenya",NA,"global"
"1_2_1_3","laos","Laos PDR",NA,"global"
"1_2_1_3","peru","Peru",NA,"global"
"1_2_1_3","tunisia","Tunisia",NA,"global"
"1_2_1_3","zimbabwe","Zimbabwe",NA,"global"
"1_2_1_5","household head","I am the Head (male or female) of household.",NA,"global"
"1_2_1_5","partner","I am the HH head's partner (spouse, partner).",NA,"global"
"1_2_1_5","child/step-child","I am the HH head's child / step-child.",NA,"global"
"1_2_1_5","son/doughter in law","I am the HH head's son-in-law / daughter-in-law.",NA,"global"
"1_2_1_5","grandchild","I am the HH head's grandchild.",NA,"global"
"1_2_1_5","father/mother","I am the HH head's father / mother.",NA,"global"
"1_2_1_5","father/mother in law","I am the HH head's father-in-law / mother-in-law.",NA,"global"
"1_2_1_5","sibling","I am the HH head's sibling / step-brother / step-sister.",NA,"global"
"1_2_1_5","brother/law","I am the HH head's brother-in-law / mother-in-law",NA,"global"
"1_2_1_5","other relative","Other relative (please specify).",NA,"global"
"1_2_1_5","other","Other non-relative (please specify).",NA,"global"
"1_2_1_6","farmer","I am the farmer / person responsible for the farm.",NA,"global"
"1_2_1_6","employee","I am an employee on the farm.",NA,"global"
"1_2_1_6","family","I am a family member working on the farm.",NA,"global"
"1_2_1_6","other","Other (please specify).",NA,"global"
"1_2_1_9","male","Male","1","global"
"1_2_1_9","female","Female","0","global"
"1_2_1_9","non binary","Non-binary","2","global"
"1_2_1_9","none","Prefer not to say",NA,"global"
"1_2_1_12_1","4","University",NA,"global"
"1_3_1_1","5","Completely agree",NA,"global"
"1_3_1_1","4","Somewhat agree",NA,"global"
"1_3_1_1","3","Neutral",NA,"global"
"1_3_1_1","2","Somewhat disagree",NA,"global"
"1_3_1_1","1","Completely disagree",NA,"global"
"1_3_1_1","0","I don't know",NA,"global"
"1_4_1_1","hectares","Hectares",NA,"global"
"1_4_1_1","acres","Acres",NA,"global"
"1_4_2_1","Crops","Crops (including perennial crops)",NA,"global"
"1_4_2_1","Livestock","Livestock",NA,"global"
"1_4_2_1","Fish","Fish",NA,"global"
"1_4_2_1","Trees","Trees (e.g., for wood, bark, rubber)",NA,"global"
"1_4_2_1","Honey","Honey",NA,"global"
"1_4_2_1","other","Other (please specify)",NA,"global"
"1_4_2_2","0","None",NA,"global"
"1_4_2_2","25","1-25%",NA,"global"
"1_4_2_2","50","26-50%",NA,"global"
"1_4_2_2","75","51-75%",NA,"global"
"1_4_2_2","100","76-100%",NA,"global"
"1_4_3_1","1","Application of Chemical fertilizers.",NA,"global"
"1_4_3_1","2","Application of Organic fertilizers or Manure.",NA,"global"
"1_4_3_1","3","Use of Ecological practices (e.g., cover crops, legume intercropping, mulching, etc.).",NA,"global"
"1_4_3_1","0","No ecological practices, chemical or organic fertilizer were applied.",NA,"global"
"1_4_3_2_1","Kilograms","Kilograms",NA,"global"
"1_4_3_2_1","Liters","Liters",NA,"global"
"1_4_3_2_1","other","Other (specify other)",NA,"global"
"1_4_3_5","1","Chemical fungicides/pesticides/herbicides.",NA,"global"
"1_4_3_5","2","Non-chemical fungicides/pesticides/herbicides.",NA,"global"
"1_4_3_5","3","Ecological practices (e.g., crop rotation, planting repelling plants).",NA,"global"
"1_4_3_5","0","No ecological practices, chemical or non-chemical pesticides were applied.",NA,"global"
"1_4_3_6","Kilograms","Kilograms",NA,"global"
"1_4_3_6","Liters","Liters",NA,"global"
"1_4_3_6","other","Other (please, specify)",NA,"global"
"1_4_3_8","1","Vaccination",NA,"global"
"1_4_3_8","2","Antibiotics",NA,"global"
"1_4_3_8","3","Organic treatments",NA,"global"
"1_4_3_8","4","Quarantine measures",NA,"global"
"1_4_3_8","5","Genetic selection for disease resistance",NA,"global"
"1_4_3_8","6","Herbal remedies or traditional medicine",NA,"global"
"1_4_3_8","7","No action taken","none","global"
"1_4_3_8","other","Other (please specify)",NA,"global"
"1_4_3_9","1","Vaccination",NA,"global"
"1_4_3_9","2","Antibiotics",NA,"global"
"1_4_3_9","3","Organic treatments",NA,"global"
"1_4_3_9","4","Quarantine measures",NA,"global"
"1_4_3_9","5","Genetic selection for disease resistance",NA,"global"
"1_4_3_9","6","Herbal remedies or traditional medicine",NA,"global"
"1_4_3_9","7","No action taken",NA,"global"
"1_4_3_9","other","Other (please specify)",NA,"global"
"1_4_4_4","5","Not at all",NA,"global"
"1_4_4_4","4","Slightly likely",NA,"global"
"1_4_4_4","3","Moderately likely",NA,"global"
"1_4_4_4","2","Very likely",NA,"global"
"1_4_4_4","1","Extremely likely",NA,"global"
"100","yes","Yes",NA,"global"
"100","no","No",NA,"global"
"2_10_1_1","1","Animals suffer from hunger and thirst, stress and diseases all year long, and are slaughtered without avoiding unnecessary pain.",NA,"global"
"2_10_1_1","2","Animals suffer periodically/seasonally from hunger and thirst, stress or diseases, and are slaughtered without avoiding unnecessary pain.",NA,"global"
"2_10_1_1","3","Animals do not suffer from hunger or thirst, but suffer from stress, may be prone to diseases and can suffer from pain at slaughter.",NA,"global"
"2_10_1_1","4","Animals do not suffer from hunger, thirst or diseases but can experience stress, especially at slaughter.",NA,"global"
"2_10_1_1","5","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain.",NA,"global"
"2_10_1_2","adequate","Provide consistent access to adequate food",NA,"global"
"2_10_1_2","diversified","Provide diversified diets",NA,"global"
"2_10_1_2","consistent","Provide consistent access to clean drinking water",NA,"global"
"2_10_1_2","shelter","Provide shelter",NA,"global"
"2_10_1_2","regular","Conduct regular checks for injuries/diseases",NA,"global"
"2_10_1_2","higenic","Provide hygenic surroundings",NA,"global"
"2_10_1_2","medical","Provide medical assistance when needed",NA,"global"
"2_10_1_2","none","No action taken",NA,"global"
"2_10_1_2","other","Other (please describe)",NA,"global"
"2_12_1","1","Planting natural vegetation between fields like live fences, hedgerows, flower strips.",NA,"global"
"2_12_1","2","Crop irrigation from harvested rainwater.",NA,"global"
"2_12_1","3","Sowing along contour lines.",NA,"global"
"2_12_1","4","Animals and crops in the same field (at same time, or in rotation).",NA,"global"
"2_12_1","5","Planting or conserving trees on agricultural land (cropland or pasture).",NA,"global"
"2_12_1","6","Avoid or limit grass fires (do not burn every year).",NA,"global"
"2_12_1","none","None",NA,"global"
"2_12_1","other__please_specify","Other (please specify)",NA,"global"
"2_2_1_1","5","Always participates.",NA,"global"
"2_2_1_1","4","Most of the times participates.",NA,"global"
"2_2_1_1","3","Sometimes participates.",NA,"global"
"2_2_1_1","2","Rarely participates.",NA,"global"
"2_2_1_1","1","Never participates.",NA,"global"
"2_2_1_2","5","Contribute to all the decisions.",NA,"global"
"2_2_1_2","4","Contribute to almost all the decisions.",NA,"global"
"2_2_1_2","3","Contribute to some decisions.",NA,"global"
"2_2_1_2","2","Contribute to few decisions.",NA,"global"
"2_2_1_2","1","Did not contribute in any decision.",NA,"global"
"2_2_1_3","5","Extremely well-managed.",NA,"global"
"2_2_1_3","4","Well-managed.",NA,"global"
"2_2_1_3","3","Moderately managed.",NA,"global"
"2_2_1_3","2","Poorly managed.",NA,"global"
"2_2_1_3","1","Not at all well-managed.",NA,"global"
"2_3_1_1","agricultural","Agriculture/trade organization",NA,"global"
"2_3_1_1","cooperative","Cooperative.",NA,"global"
"2_3_1_1","producer","Enviromental group.",NA,"global"
"2_3_1_1","fpo","Farmer producer organization.",NA,"global"
"2_3_1_1","farmer","Farmers' association.",NA,"global"
"2_3_1_1","ngo","NGO.",NA,"global"
"2_3_1_1","women","Women association.",NA,"global"
"2_3_1_1","youth","Youth association.",NA,"global"
"2_3_1_1","political","Political organization.",NA,"global"
"2_3_1_1","board","Village board.",NA,"global"
"2_3_1_1","cultural","Cultural/health/school group.",NA,"global"
"2_3_1_1","other","Other (please specify)",NA,"global"
"2_3_1_1","none","Not a member of any organization.",NA,"global"
"2_3_1_1","i-dont-know","I don't know.",NA,"global"
"2_3_1_2","5","Both women and men participate in leadership positions and can influence decisions as equals.",NA,"global"
"2_3_1_2","4","Women participate in leadership positions and can influence decisions.",NA,"global"
"2_3_1_2","3","Women participate in leadership positions but their influence on decisions is limited.",NA,"global"
"2_3_1_2","2","Women have limited representation in leadership positions and decision-making.",NA,"global"
"2_3_1_2","1","Women are completely excluded from leadership positions and decision-making.",NA,"global"
"2_3_1_2","i-dont-know","I don't know.",NA,"global"
"2_3_1_3","5","Both young and older people participate in leadership positions and can influence decisions as equals.",NA,"global"
"2_3_1_3","4","Young people (<25yrs) participate in leadership positions and can influence decisions.",NA,"global"
"2_3_1_3","3","Young people (<25yrs) participate in leadership positions but their influence on decisions is limited.",NA,"global"
"2_3_1_3","2","Young people (<25yrs) have limited representation in leadership positions and decision-making.",NA,"global"
"2_3_1_3","1","Young people (<25yrs) are completely excluded from leadership positions and decision-making.",NA,"global"
"2_3_1_3","i-dont-know","I don't know.",NA,"global"
"2_3_1_4","5","Associations/organizations demonstrate exceptional effectiveness in supporting farmers' business ventures, offering comprehensive assistance, fostering growth, and ensuring long-term success.",NA,"global"
"2_3_1_4","4","Associations/organizations play a significant role in supporting farmers' businesses, providing valuable resources, market opportunities, and essential services.",NA,"global"
"2_3_1_4","3","Associations/organizations offer satisfactory support to farmers, aiding them in various aspects of their businesses (e.g., market access, information sharing, and capacity development).",NA,"global"
"2_3_1_4","2","Associations/organizations provide limited support to farmers in business, with marginal impact on their overall success.",NA,"global"
"2_3_1_4","1","Associations/organizations offer no support to farmers' businesses.",NA,"global"
"2_3_1_4","i-dont-know","I don't know.",NA,"global"
"2_4_1","crop","Crop production",NA,"global"
"2_4_1","livestock","Livestock production",NA,"global"
"2_4_1","fish","Fish production",NA,"global"
"2_4_1","other_business","Other family business",NA,"global"
"2_4_1","casual_labour","Casual labour",NA,"global"
"2_4_1","formal_labour","Formal labour office job",NA,"global"
"2_4_1","transfers","Cash transfers",NA,"global"
"2_4_1","leasing","Leasing agricultural or non-agricultural land",NA,"global"
"2_4_1","subsidy","Subsidy",NA,"global"
"2_4_1","other","Other (please specify)",NA,"global"
"2_5_1","5","Good access.",NA,"global"
"2_5_1","4","Fairly good.",NA,"global"
"2_5_1","3","Moderate access.",NA,"global"
"2_5_1","2","Limited access.",NA,"global"
"2_5_1","1","No access at all.",NA,"global"
"2_6_1_1","5","Yes, all needs are met, and savings are regular.",NA,"global"
"2_6_1_1","4","Yes, needs for food are covered, and surplus generates cash for essentials and sporadic savings.",NA,"global"
"2_6_1_1","3","Yes, needs for food are covered, but no surplus for savings.",NA,"global"
"2_6_1_1","2","No, only needs for food are covered, no surplus for income.",NA,"global"
"2_6_1_1","1","No, needs for food and other essentials are not met.",NA,"global"
"2_6_1_2","5","Income is increasing over time.",NA,"global"
"2_6_1_2","4","Income is stable over time.",NA,"global"
"2_6_1_2","3","Income varies little from year to year.",NA,"global"
"2_6_1_2","2","Income varies from year to year.",NA,"global"
"2_6_1_2","1","Income is on a decreasing trend.",NA,"global"
"2_6_1_3","5","They fully and quickly recover after shocks/perturbations.",NA,"global"
"2_6_1_3","4","Income and production mostly recover after shocks/perturbations.",NA,"global"
"2_6_1_3","3","Income and production partially recover after shocks/perturbations.",NA,"global"
"2_6_1_3","2","There is little capacity to recover after shocks/perturbations.",NA,"global"
"2_6_1_3","1","There is no capacity to recover after shocks/perturbations.",NA,"global"
"2_6_1_4","5","Always get a fair price.",NA,"global"
"2_6_1_4","4","Usually get a fair price, depending on the product.",NA,"global"
"2_6_1_4","3","Occasionally get a fair price, depending on the product.",NA,"global"
"2_6_1_4","2","Rarely get a fair price.",NA,"global"
"2_6_1_4","1","Never get a fair price.",NA,"global"
"2_6_1_4","0","I don't know",NA,"global"
"2_7_1_1","direct_to_consumer","Directly to consumers.",NA,"global"
"2_7_1_1","trader_or_supermarket","Trader or supermarket.",NA,"global"
"2_7_1_1","middle_man_aggregator","To a middle man / aggregator.",NA,"global"
"2_7_1_1","cooperative","Farmers organization/cooperative",NA,"global"
"2_7_1_1","other","Other (please, specify)",NA,"global"
"2_8_1_1","1","All seeds are purchased from the market (e.g., agrovet, seed stores, farmers' cooperatives, seed suppliers, etc.).",NA,"global"
"2_8_1_1","2","75% of seeds are purchased from the market, the other 25% are self-produced or exchanged.",NA,"global"
"2_8_1_1","3","50% of seeds are purchased from the market, the other 50% is self-produced or exchanged.",NA,"global"
"2_8_1_1","4","25% of seeds are purchased from the market, the other 75% is self-produced or exchanged.",NA,"global"
"2_8_1_1","5","All seeds are self-produced, exchanged with other farmers or managed collectively.",NA,"global"
"2_8_1_2","1","Only or mainly certified quality seeds are grown.",NA,"global"
"2_8_1_2","2","Mainly certified seeds and some locally adapted varieties are grown (e.g. traditional cultivars, landraces).",NA,"global"
"2_8_1_2","3","Some certified seeds and some locally adapted varieties are grown (e.g. traditional cultivars, landraces).",NA,"global"
"2_8_1_2","4","Only or mainly locally adapted varieties are grown.",NA,"global"
"2_8_1_2","5","I don't know, or seeds are neither certified or locally adapted.",NA,"global"
"2_8_2_1","1","All manure and compost are purchased from the market.",NA,"global"
"2_8_2_1","2","75% of the manure and compost are purchased from the market, the other 25% are self-produced or exchanged.",NA,"global"
"2_8_2_1","3","50% of the manure and compost purchased from the market, the other 50% is self-produced or exchanged",NA,"global"
"2_8_2_1","4","25% of the manure and compost are purchased from the market, the other 75% is self-produced or exchanged.",NA,"global"
"2_8_2_1","5","All manure and compost are self-produced, exchanged with other farmers or managed collectively.",NA,"global"
"2_8_3_1","1","All animal genetic resources (e.g. chicks, young animals, semen) are purchased from the market.",NA,"global"
"2_8_3_1","2","75% of animal genetic resources are purchased from the market, the other 25% are self-produced or exchanged.",NA,"global"
"2_8_3_1","3","50% of the breeding are purchased from the market, the other 50% is self-produced or exchanged with neighbouring farms.",NA,"global"
"2_8_3_1","4","25% of animal genetic resources are purchased from the market, the other 75% is self-produced or exchanged.",NA,"global"
"2_8_3_1","5","All animal genetic resources are self-produced, exchanged with other farmers or managed collectively.",NA,"global"
"2_8_4_1","Electricity","Electricity (national grid)",NA,"global"
"2_8_4_1","Wind_turbine","Wind turbine",NA,"global"
"2_8_4_1","Solar_panel","Solar panel",NA,"global"
"2_8_4_1","Burning_plant_materials","Burning plant materials",NA,"global"
"2_8_4_1","Gas","Gas",NA,"global"
"2_8_4_1","Coal","Coal",NA,"global"
"2_8_4_1","Petrol_or_diesel","Petrol or diesel",NA,"global"
"2_8_4_1","Cow_dung_cakes","Cow dung cakes",NA,"global"
"2_8_4_1","other","Other (please specify)",NA,"global"
"2_8_4_2","Electricity","Electricity (national grid)",NA,"global"
"2_8_4_2","Gas","Gas",NA,"global"
"2_8_4_2","Petrol_or_diesel","Petrol or diesel",NA,"global"
"2_8_4_2","Animal_traction","Animal traction",NA,"global"
"2_8_4_2","Human_power/by_hand_only","Human power/by hand only",NA,"global"
"2_8_4_2","other","Other (please specify)",NA,"global"
"2_8_4_3","Electricity","Electricity (national grid)",NA,"global"
"2_8_4_3","Wind_turbine","Wind turbine",NA,"global"
"2_8_4_3","Solar_panel","Solar panel",NA,"global"
"2_8_4_3","Burning_plant_materials","Burning plant materials",NA,"global"
"2_8_4_3","Biogas","Biogas",NA,"global"
"2_8_4_3","LPG","Gas LPG",NA,"global"
"2_8_4_3","Coal","Coal",NA,"global"
"2_8_4_3","Oil","Oil",NA,"global"
"2_8_4_3","other","Other (please specify)",NA,"global"
"2_8_4_4","Electricity","Electricity (national grid)",NA,"global"
"2_8_4_4","Wind_turbine","Wind turbine",NA,"global"
"2_8_4_4","Solar_panel","Solar panel",NA,"global"
"2_8_4_4","Burning_plant_materials","Burning plant materials",NA,"global"
"2_8_4_4","Biogas","Biogas",NA,"global"
"2_8_4_4","LPG","Gas LPG",NA,"global"
"2_8_4_4","Coal","Coal",NA,"global"
"2_8_4_4","Petrol_or_diesel","Petrol or diesel",NA,"global"
"2_8_4_4","Animal_traction","Animal traction",NA,"global"
"2_8_4_4","other","Other (please specify)",NA,"global"
"2_8_4_5","1","All energy is purchased from the market.",NA,"global"
"2_8_4_5","2","75% of energy is purchased from the market, the other 25% is produced on farm/within the agroecosystem or exchanged with other members of the community.",NA,"global"
"2_8_4_5","3","50% of energy is purchased from the market, the other 50% is produced on farm/within the agroecosystem or exchanged with other members of the community.",NA,"global"
"2_8_4_5","4","25% of energy is purchased from the market, the other 75% is self-produced or exchanged.",NA,"global"
"2_8_4_5","5","All energy is self-produced, exchanged with other farmers or managed collectively.",NA,"global"
"2_8_5_1",NA,"Does not produce fish",NA,"global"
"2_8_5_1","1","All fish genetic resources (e.g. spawn, fry, fingerling species and varieties) are purchased from the market.",NA,"global"
"2_8_5_1","2","75% of fish genetic resources are purchased from the market, the other 25% are self-produced or exchanged.",NA,"global"
"2_8_5_1","3","50% of fish genetic resources are purchased from the market, the other 50% is self-produced or exchanged with neighbouring farms.",NA,"global"
"2_8_5_1","4","25% of fish genetic resources are purchased from the market, the other 75% is self-produced or exchanged.",NA,"global"
"2_8_5_1","5","All fish genetic resources are self-produced, exchanged with other farmers or managed collectively.",NA,"global"
"2_8_5_2","1","Commercial feed suppliers",NA,"global"
"2_8_5_2","2","Self-produced on the farm",NA,"global"
"2_8_5_2","3","Purchased from other farmers",NA,"global"
"2_8_5_2","4","Obtained from other farmers for free",NA,"global"
"2_8_5_2","5","Natural feed from the aquatic environment",NA,"global"
"2_8_5_2","other","Other (Please specify)",NA,"global"
"2_8_5_3","1","Natural feed (i.e., feeds that occur naturally or introduced in the aquatic environment)",NA,"global"
"2_8_5_3","2","Prepared organic feeds (i.e., feeds that are produced using natural ingredients)",NA,"global"
"2_8_5_3","3","Prepared chemical feeds (i.e., feeds that contain specific chemical compounds or additives)",NA,"global"
"2_8_5_3","other","Other (Please specify)",NA,"global"
"2_9_1_1","1","Add inoculants (fungi, bacteria)",NA,"global"
"2_9_1_1","2","Biochar",NA,"global"
"2_9_1_1","3","Leave crop residues on ground after harvesting",NA,"global"
"2_9_1_1","4","Fertilizer microdosing",NA,"global"
"2_9_1_1","5","Mulching",NA,"global"
"2_9_1_1","6","No tillage",NA,"global"
"2_9_1_1","7","Plant cover crops",NA,"global"
"2_9_1_1","8","Plant legumes",NA,"global"
"2_9_1_1","9","Planting basins",NA,"global"
"2_9_1_1","10","Reduced tillage",NA,"global"
"2_9_1_1","other","Other (please specify)",NA,"global"
"3_1_1","5","Completely satisfied.",NA,"global"
"3_1_1","4","Somewhat satisfied.",NA,"global"
"3_1_1","3","Neutral",NA,"global"
"3_1_1","2","Somewhat dissatisfied.",NA,"global"
"3_1_1","1","Completely dissatisfied.",NA,"global"
"3_1_1","0","I don't know",NA,"global"
"3_1_2_1","5","Step 5: Power and freedom to make all major life decisions.",NA,"global"
"3_1_2_1","4","Step 4: Power and freedom to make many major life decisions.",NA,"global"
"3_1_2_1","3","Step 3: Power and freedom to make some major life decisions.",NA,"global"
"3_1_2_1","2","Step 2: Only a small amount of power and freedom.",NA,"global"
"3_1_2_1","1","Step 1: Almost no power or freedom to make decisions.",NA,"global"
"3_1_2_2","5","Step 5: Power and freedom to make all major life decisions.",NA,"global"
"3_1_2_2","4","Step 4: Power and freedom to make many major life decisions.",NA,"global"
"3_1_2_2","3","Step 3: Power and freedom to make some major life decisions.",NA,"global"
"3_1_2_2","2","Step 2: Only a small amount of power and freedom.",NA,"global"
"3_1_2_2","1","Step 1: Almost no power or freedom to make decisions.",NA,"global"
"3_1_2_1","0","Not applicable",NA,"global"
"3_1_2_3","1","I would place them in the same step on the ladder",NA,"global"
"3_1_2_3","0","I would place them in different steps on the ladder",NA,"global"
"3_1_3_1","1","Yes",NA,"global"
"3_1_3_1","0","No",NA,"global"
"3_2_1_2","1","Yes",NA,"global"
"3_2_1_2","0","No",NA,"global"
"3_2_1_2","2","I don't know",NA,"global"
"3_2_1_3_1","Bamboo","Bamboo",NA,"global"
"3_2_1_3_1","Concrete,_brick,_stone","Concrete, brick, stone",NA,"global"
"3_2_1_3_1","Fibrous_cements","Fibrous cements",NA,"global"
"3_2_1_3_1","Galvanized_iron_or_aluminum_or_other_metal_sheets","Galvanized iron or aluminum or other metal sheets",NA,"global"
"3_2_1_3_1","Thatch/leaves/grass","Thatch/leaves/grass",NA,"global"
"3_2_1_3_1","Tiles","Tiles",NA,"global"
"3_2_1_3_1","other","Other (please specify)",NA,"global"
"3_2_1_3_2","Asbestos","Asbestos",NA,"global"
"3_2_1_3_2","Bricks","Bricks",NA,"global"
"3_2_1_3_2","Iron_sheet","Iron sheet",NA,"global"
"3_2_1_3_2","Mud","Mud",NA,"global"
"3_2_1_3_2","Plastered","Plastered",NA,"global"
"3_2_1_3_2","Stones","Stones",NA,"global"
"3_2_1_3_2","Wood","Wood",NA,"global"
"3_2_1_3_2","other","Other (please specify)",NA,"global"
"3_3_1_1","1","51-100%","4","global"
"3_3_1_1","2","21-50%","3","global"
"3_3_1_1","3","11-20%","2","global"
"3_3_1_1","4","1-10%","1","global"
"3_3_1_1","0","No presence or occurrence.","0","global"
"3_3_1_2","high","High: five or more species with different heights, woodiness or flowering seasons.","3","global"
"3_3_1_2","medium","Medium: two to four species.","2","global"
"3_3_1_2","low","Low: only one species.","1","global"
"3_3_1_2","none","None","0","global"
"3_3_1_3","high","High diversity: Abundant presence with a wide variety of species.","3","global"
"3_3_1_3","medium","Medium diversity: Regularly seen with several species.","2","global"
"3_3_1_3","low","Low diversity: Rarely seen or limited to a few species.","1","global"
"3_3_1_3","none","None","0","global"
"3_3_1_3","nd","I don't know",NA,"global"
"3_3_1_4","high","High diversity: Abundant presence with a wide variety of species.","3","global"
"3_3_1_4","medium","Medium diversity: Regularly seen with several species.","2","global"
"3_3_1_4","low","Low diversity: Rarely seen or limited to a few species.","1","global"
"3_3_1_4","none","None: No mammals observed.","0","global"
"3_3_1_5","high","More than 50 trees (and/or other woody perennials) per ${_1_4_1_1}.","3","global"
"3_3_1_5","medium","21-50 trees (and/or other woody perennials) per ${_1_4_1_1}.","2","global"
"3_3_1_5","low","1-20 trees (and/or other woody perennials) per ${_1_4_1_1}.","1","global"
"3_3_1_5","none","No trees or other woody perennials.","0","global"
"3_3_1_6","high","High: five or more species with different heights, woodiness or flowering seasons.","3","global"
"3_3_1_6","medium","Medium: two to four species.","2","global"
"3_3_1_6","low","Low: only one species.","1","global"
"3_3_1_6","none","No trees or other woody perennials.","0","global"
"3_3_1_7","cultural_control","Cultural control (plants and fruits presenting signs of disease are removed manually)",NA,"global"
"3_3_1_7","repelling_plants","Plantation of natural repelling plants",NA,"global"
"3_3_1_7","cover_crops","Use of cover crops/intercropping/crop rotation to increase biological interactions",NA,"global"
"3_3_1_7","biological-control","Favor the reproduction of beneficial organisms for biological-control",NA,"global"
"3_3_1_7","spatial_diversity","Favor biodiversity and spatial diversity within the agroecosystem",NA,"global"
"3_3_1_7","resistant_varieties","Plant improved or resistant crop varieties",NA,"global"
"3_3_1_7","other","Other (please specify):",NA,"global"
"3_3_3_1","Monoculture_annual","Monoculture with annual crops",NA,"global"
"3_3_3_1","Monoculture_perennial","Monoculture with perennial crops",NA,"global"
"3_3_3_1","Agroforestry","Agroforestry",NA,"global"
"3_3_3_1","Burning_crop_residues","Burning crop residues",NA,"global"
"3_3_3_1","Cover_crops","Cover crops",NA,"global"
"3_3_3_1","Crop_rotation","Crop rotation",NA,"global"
"3_3_3_1","Fallow","Fallow (leave land unproductive)",NA,"global"
"3_3_3_1","Hedgerows/Live_fences","Hedgerows/Live fences",NA,"global"
"3_3_3_1","Homegarden","Homegarden",NA,"global"
"3_3_3_1","Intercropping","Intercropping",NA,"global"
"3_3_3_1","Land_clearing_for_agriculture","Land clearing for agriculture",NA,"global"
"3_3_3_1","Mulching","Mulching",NA,"global"
"3_3_3_1","Natural_strips/vegetation","Natural strips/vegetation",NA,"global"
"3_3_3_1","Pollinator/Flower_strips","Pollinator/Flower strips",NA,"global"
"3_3_3_1","Push-pull","Pull-push",NA,"global"
"3_3_3_1","other","Other (please specify)",NA,"global"
"3_3_3_2_3","1","${c1}",NA,"global"
"3_3_3_2_3","2","${c2}",NA,"global"
"3_3_3_2_3","3","${c3}",NA,"global"
"3_3_3_2_3","4","${c4}",NA,"global"
"3_3_3_2_3","5","${c5}",NA,"global"
"3_3_3_2_3","6","${c6}",NA,"global"
"3_3_3_2_3","7","${c7}",NA,"global"
"3_3_3_2_3","8","${c8}",NA,"global"
"3_3_3_2_3","9","${c9}",NA,"global"
"3_3_3_2_3","10","${c10}",NA,"global"
"3_3_3_2_3","11","${c11}",NA,"global"
"3_3_3_2_3","12","${c12}",NA,"global"
"3_3_3_2_3","13","${c13}",NA,"global"
"3_3_3_2_3","14","${c14}",NA,"global"
"3_3_3_2_3","15","${c15}",NA,"global"
"3_3_3_2_3","16","${c16}",NA,"global"
"3_3_3_2_3","17","${c17}",NA,"global"
"3_3_3_2_3","18","${c18}",NA,"global"
"3_3_3_2_3","19","${c19}",NA,"global"
"3_3_3_2_3","20","${c20}",NA,"global"
"3_3_3_2_4","high","More than 50 trees (and/or other woody perennials) per ${_1_4_1_1}.",NA,"global"
"3_3_3_2_4","medium","21-50 trees (and/or other woody perennials) per ${_1_4_1_1} of different species.",NA,"global"
"3_3_3_2_4","low","1-20 trees (and/or other woody perennials) per ${_1_4_1_1}.",NA,"global"
"3_3_3_2_4","none","No trees or other woody perennials.",NA,"global"
"3_3_3_2_5","high","High: five or more species with different heights, woodiness or flowering seasons.",NA,"global"
"3_3_3_2_5","medium","Medium: two to four species.",NA,"global"
"3_3_3_2_5","low","Low: only one species.",NA,"global"
