"column_name_new2","name_choice","Count","Total","Percentage","column_name_new","label_choice","category_1","sub_category","category_3","factor","metric","metric_type","categorical_type","description"
"access_irrigation_method","1",7,201,3.48258706467662,"access_irrigation_method","Yes","physical_capital","irrigation",NA,"Access to irrigation","1= yes; 0= no","binary","NA","Does the household have access to irrigation methods (e.g., drip, flood, hose-pipe, ridges, sprinkler, watering can, or bucket)?"
"access_machinery","0",101,201,50.2487562189055,"access_machinery","No","physical_capital","machinery",NA,"Household owns machinery","1= yes; 0= no","binary","NA","Does the household own machinery (e.g., ox plough, tractor, plow, seed drill, dryer, cultivator, sprayer)?"
"access_machinery","1",100,201,49.7512437810945,"access_machinery","Yes","physical_capital","machinery",NA,"Household owns machinery","1= yes; 0= no","binary","NA","Does the household own machinery (e.g., ox plough, tractor, plow, seed drill, dryer, cultivator, sprayer)?"
"access_mobile_phone","0",63,201,31.3432835820896,"access_mobile_phone","No","physical_capital","communication",NA,"Household has a mobile phone","1= yes; 0= no","binary","NA","Does the household have a mobile phone?"
"access_mobile_phone","1",138,201,68.6567164179104,"access_mobile_phone","Yes","physical_capital","communication",NA,"Household has a mobile phone","1= yes; 0= no","binary","NA","Does the household have a mobile phone?"
"accessibility_drinking_water","0",196,201,97.5124378109453,"accessibility_drinking_water","No","physical_capital","access to basic services","water service","Access to drinking water piped to the household","1= yes; 0= no","binary",NA,"Does the household have access to drinking water piped to the household?"
"accessibility_drinking_water","1",5,201,2.48756218905473,"accessibility_drinking_water","Yes","physical_capital","access to basic services","water service","Access to drinking water piped to the household","1= yes; 0= no","binary",NA,"Does the household have access to drinking water piped to the household?"
"accessibility_electrical_energy","0",197,201,98.0099502487562,"accessibility_electrical_energy","No","physical_capital","access to basic services","energy service","Access to electrical energy","1= yes; 0= no","binary","NA","Does the household have access to electrical energy?"
"accessibility_electrical_energy","1",4,201,1.99004975124378,"accessibility_electrical_energy","Yes","physical_capital","access to basic services","energy service","Access to electrical energy","1= yes; 0= no","binary","NA","Does the household have access to electrical energy?"
"accessibility_internet","0",115,201,57.2139303482587,"accessibility_internet","No","physical_capital","access to basic services","communication services","Access to internet","1= yes; 0= no","binary",NA,"Does the household have access to internet?"
"accessibility_internet","1",86,201,42.7860696517413,"accessibility_internet","Yes","physical_capital","access to basic services","communication services","Access to internet","1= yes; 0= no","binary",NA,"Does the household have access to internet?"
"accessibility_phone_reception","0",45,201,22.3880597014925,"accessibility_phone_reception","No","physical_capital","access to basic services","communication services","Access to mobile phone reception","1= yes; 0= no","binary",NA,"Does the household have access to mobile phone reception?"
"accessibility_phone_reception","1",156,201,77.6119402985075,"accessibility_phone_reception","Yes","physical_capital","access to basic services","communication services","Access to mobile phone reception","1= yes; 0= no","binary",NA,"Does the household have access to mobile phone reception?"
"agroecol_perspective_1","0",1,201,0.497512437810945,"agroecol_perspective_1","I don't know","farmers_behaviour","Dispositional factors: encompass farmers personality, motivations, values, believes, and overarching goals or preferences, that shape their general tendency to act in certain ways (Dessart et al. 2019).","environmental concern","Care for nature","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I care a lot about nature?"
"agroecol_perspective_1","3",4,201,1.99004975124378,"agroecol_perspective_1","Neutral","farmers_behaviour","Dispositional factors: encompass farmers personality, motivations, values, believes, and overarching goals or preferences, that shape their general tendency to act in certain ways (Dessart et al. 2019).","environmental concern","Care for nature","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I care a lot about nature?"
"agroecol_perspective_1","4",17,201,8.45771144278607,"agroecol_perspective_1","Somewhat agree","farmers_behaviour","Dispositional factors: encompass farmers personality, motivations, values, believes, and overarching goals or preferences, that shape their general tendency to act in certain ways (Dessart et al. 2019).","environmental concern","Care for nature","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I care a lot about nature?"
"agroecol_perspective_1","5",179,201,89.0547263681592,"agroecol_perspective_1","Completely agree","farmers_behaviour","Dispositional factors: encompass farmers personality, motivations, values, believes, and overarching goals or preferences, that shape their general tendency to act in certain ways (Dessart et al. 2019).","environmental concern","Care for nature","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I care a lot about nature?"
"agroecol_perspective_10","0",1,201,0.497512437810945,"agroecol_perspective_10","I don't know","farmers_behaviour","Dispositional factors: encompass farmers personality, motivations, values, believes, and overarching goals or preferences, that shape their general tendency to act in certain ways (Dessart et al. 2019).","moral concern","Preference for locally produced food","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I would prefer to eat food that is grown locally."
"agroecol_perspective_10","2",2,201,0.995024875621891,"agroecol_perspective_10","Somewhat disagree","farmers_behaviour","Dispositional factors: encompass farmers personality, motivations, values, believes, and overarching goals or preferences, that shape their general tendency to act in certain ways (Dessart et al. 2019).","moral concern","Preference for locally produced food","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I would prefer to eat food that is grown locally."
"agroecol_perspective_10","3",18,201,8.95522388059701,"agroecol_perspective_10","Neutral","farmers_behaviour","Dispositional factors: encompass farmers personality, motivations, values, believes, and overarching goals or preferences, that shape their general tendency to act in certain ways (Dessart et al. 2019).","moral concern","Preference for locally produced food","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I would prefer to eat food that is grown locally."
"agroecol_perspective_10","4",31,201,15.4228855721393,"agroecol_perspective_10","Somewhat agree","farmers_behaviour","Dispositional factors: encompass farmers personality, motivations, values, believes, and overarching goals or preferences, that shape their general tendency to act in certain ways (Dessart et al. 2019).","moral concern","Preference for locally produced food","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I would prefer to eat food that is grown locally."
"agroecol_perspective_10","5",149,201,74.1293532338308,"agroecol_perspective_10","Completely agree","farmers_behaviour","Dispositional factors: encompass farmers personality, motivations, values, believes, and overarching goals or preferences, that shape their general tendency to act in certain ways (Dessart et al. 2019).","moral concern","Preference for locally produced food","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I would prefer to eat food that is grown locally."
"agroecol_perspective_11","0",2,201,0.995024875621891,"agroecol_perspective_11","I don't know","farmers_behaviour","Dispositional factors: encompass farmers personality, motivations, values, believes, and overarching goals or preferences, that shape their general tendency to act in certain ways (Dessart et al. 2019).","moral concern","Preference for fair wages and good working conditions","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I would prefer that the food I buy is produced and processed in ways that provide a fair wage and good conditions for workers."
"agroecol_perspective_11","1",1,201,0.497512437810945,"agroecol_perspective_11","Completely disagree","farmers_behaviour","Dispositional factors: encompass farmers personality, motivations, values, believes, and overarching goals or preferences, that shape their general tendency to act in certain ways (Dessart et al. 2019).","moral concern","Preference for fair wages and good working conditions","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I would prefer that the food I buy is produced and processed in ways that provide a fair wage and good conditions for workers."
"agroecol_perspective_11","2",2,201,0.995024875621891,"agroecol_perspective_11","Somewhat disagree","farmers_behaviour","Dispositional factors: encompass farmers personality, motivations, values, believes, and overarching goals or preferences, that shape their general tendency to act in certain ways (Dessart et al. 2019).","moral concern","Preference for fair wages and good working conditions","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I would prefer that the food I buy is produced and processed in ways that provide a fair wage and good conditions for workers."
"agroecol_perspective_11","3",26,201,12.9353233830846,"agroecol_perspective_11","Neutral","farmers_behaviour","Dispositional factors: encompass farmers personality, motivations, values, believes, and overarching goals or preferences, that shape their general tendency to act in certain ways (Dessart et al. 2019).","moral concern","Preference for fair wages and good working conditions","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I would prefer that the food I buy is produced and processed in ways that provide a fair wage and good conditions for workers."
"agroecol_perspective_11","4",77,201,38.3084577114428,"agroecol_perspective_11","Somewhat agree","farmers_behaviour","Dispositional factors: encompass farmers personality, motivations, values, believes, and overarching goals or preferences, that shape their general tendency to act in certain ways (Dessart et al. 2019).","moral concern","Preference for fair wages and good working conditions","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I would prefer that the food I buy is produced and processed in ways that provide a fair wage and good conditions for workers."
"agroecol_perspective_11","5",93,201,46.2686567164179,"agroecol_perspective_11","Completely agree","farmers_behaviour","Dispositional factors: encompass farmers personality, motivations, values, believes, and overarching goals or preferences, that shape their general tendency to act in certain ways (Dessart et al. 2019).","moral concern","Preference for fair wages and good working conditions","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I would prefer that the food I buy is produced and processed in ways that provide a fair wage and good conditions for workers."
"agroecol_perspective_12","0",3,201,1.49253731343284,"agroecol_perspective_12","I don't know","farmers_behaviour","Cognitive factors: encompass how farmers perceive the advantages, disadvantages, and potential risk of a given agricultural practice, as well as their confidence in the own ability to implement it (Dessart et al. 2019).","perceived benefit (financial)","Perception of agroecological farming as a business decision","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I think shifting to agroecological farming is a sensible business decision."
"agroecol_perspective_12","2",2,201,0.995024875621891,"agroecol_perspective_12","Somewhat disagree","farmers_behaviour","Cognitive factors: encompass how farmers perceive the advantages, disadvantages, and potential risk of a given agricultural practice, as well as their confidence in the own ability to implement it (Dessart et al. 2019).","perceived benefit (financial)","Perception of agroecological farming as a business decision","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I think shifting to agroecological farming is a sensible business decision."
"agroecol_perspective_12","3",13,201,6.46766169154229,"agroecol_perspective_12","Neutral","farmers_behaviour","Cognitive factors: encompass how farmers perceive the advantages, disadvantages, and potential risk of a given agricultural practice, as well as their confidence in the own ability to implement it (Dessart et al. 2019).","perceived benefit (financial)","Perception of agroecological farming as a business decision","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I think shifting to agroecological farming is a sensible business decision."
"agroecol_perspective_12","4",55,201,27.363184079602,"agroecol_perspective_12","Somewhat agree","farmers_behaviour","Cognitive factors: encompass how farmers perceive the advantages, disadvantages, and potential risk of a given agricultural practice, as well as their confidence in the own ability to implement it (Dessart et al. 2019).","perceived benefit (financial)","Perception of agroecological farming as a business decision","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I think shifting to agroecological farming is a sensible business decision."
"agroecol_perspective_12","5",128,201,63.681592039801,"agroecol_perspective_12","Completely agree","farmers_behaviour","Cognitive factors: encompass how farmers perceive the advantages, disadvantages, and potential risk of a given agricultural practice, as well as their confidence in the own ability to implement it (Dessart et al. 2019).","perceived benefit (financial)","Perception of agroecological farming as a business decision","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I think shifting to agroecological farming is a sensible business decision."
"agroecol_perspective_13","1",18,201,8.95522388059701,"agroecol_perspective_13","Completely disagree","farmers_behaviour","Dispositional factors: encompass farmers personality, motivations, values, believes, and overarching goals or preferences, that shape their general tendency to act in certain ways (Dessart et al. 2019).","resistance to change","Perception of current farming systems","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I think current farming systems are working well and do not need changing."
"agroecol_perspective_13","2",43,201,21.3930348258706,"agroecol_perspective_13","Somewhat disagree","farmers_behaviour","Dispositional factors: encompass farmers personality, motivations, values, believes, and overarching goals or preferences, that shape their general tendency to act in certain ways (Dessart et al. 2019).","resistance to change","Perception of current farming systems","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I think current farming systems are working well and do not need changing."
"agroecol_perspective_13","3",33,201,16.4179104477612,"agroecol_perspective_13","Neutral","farmers_behaviour","Dispositional factors: encompass farmers personality, motivations, values, believes, and overarching goals or preferences, that shape their general tendency to act in certain ways (Dessart et al. 2019).","resistance to change","Perception of current farming systems","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I think current farming systems are working well and do not need changing."
"agroecol_perspective_13","4",58,201,28.8557213930348,"agroecol_perspective_13","Somewhat agree","farmers_behaviour","Dispositional factors: encompass farmers personality, motivations, values, believes, and overarching goals or preferences, that shape their general tendency to act in certain ways (Dessart et al. 2019).","resistance to change","Perception of current farming systems","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I think current farming systems are working well and do not need changing."
"agroecol_perspective_13","5",49,201,24.3781094527363,"agroecol_perspective_13","Completely agree","farmers_behaviour","Dispositional factors: encompass farmers personality, motivations, values, believes, and overarching goals or preferences, that shape their general tendency to act in certain ways (Dessart et al. 2019).","resistance to change","Perception of current farming systems","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I think current farming systems are working well and do not need changing."
"agroecol_perspective_2","1",6,201,2.98507462686567,"agroecol_perspective_2","Completely disagree","farmers_behaviour","Cognitive factors: encompass how farmers perceive the advantages, disadvantages, and potential risk of a given agricultural practice, as well as their confidence in the own ability to implement it (Dessart et al. 2019).","perceived benefits (environmental)","Perceived benefit of being in nature","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: Being in nature benefits me."
"agroecol_perspective_2","2",3,201,1.49253731343284,"agroecol_perspective_2","Somewhat disagree","farmers_behaviour","Cognitive factors: encompass how farmers perceive the advantages, disadvantages, and potential risk of a given agricultural practice, as well as their confidence in the own ability to implement it (Dessart et al. 2019).","perceived benefits (environmental)","Perceived benefit of being in nature","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: Being in nature benefits me."
"agroecol_perspective_2","3",5,201,2.48756218905473,"agroecol_perspective_2","Neutral","farmers_behaviour","Cognitive factors: encompass how farmers perceive the advantages, disadvantages, and potential risk of a given agricultural practice, as well as their confidence in the own ability to implement it (Dessart et al. 2019).","perceived benefits (environmental)","Perceived benefit of being in nature","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: Being in nature benefits me."
"agroecol_perspective_2","4",41,201,20.3980099502488,"agroecol_perspective_2","Somewhat agree","farmers_behaviour","Cognitive factors: encompass how farmers perceive the advantages, disadvantages, and potential risk of a given agricultural practice, as well as their confidence in the own ability to implement it (Dessart et al. 2019).","perceived benefits (environmental)","Perceived benefit of being in nature","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: Being in nature benefits me."
"agroecol_perspective_2","5",146,201,72.636815920398,"agroecol_perspective_2","Completely agree","farmers_behaviour","Cognitive factors: encompass how farmers perceive the advantages, disadvantages, and potential risk of a given agricultural practice, as well as their confidence in the own ability to implement it (Dessart et al. 2019).","perceived benefits (environmental)","Perceived benefit of being in nature","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: Being in nature benefits me."
"agroecol_perspective_3","1",2,201,0.995024875621891,"agroecol_perspective_3","Completely disagree","farmers_behaviour","Social factors: stem from farmers’ interactions with others —such as peers or advisors—and encompass elements like social norms and injunctive norms. Injunctive norms encompass what farmers believe others expect of them. Social norms reflect both shared expectations about appropriate behaviour and individuals’ perceptions of how common or accepted certain practices are among others (Dessart et al. 2019).","descriptive norm","Perceived community care for nature","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I live in a place where most people take good care of the land and nature."
"agroecol_perspective_3","2",6,201,2.98507462686567,"agroecol_perspective_3","Somewhat disagree","farmers_behaviour","Social factors: stem from farmers’ interactions with others —such as peers or advisors—and encompass elements like social norms and injunctive norms. Injunctive norms encompass what farmers believe others expect of them. Social norms reflect both shared expectations about appropriate behaviour and individuals’ perceptions of how common or accepted certain practices are among others (Dessart et al. 2019).","descriptive norm","Perceived community care for nature","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I live in a place where most people take good care of the land and nature."
"agroecol_perspective_3","3",28,201,13.9303482587065,"agroecol_perspective_3","Neutral","farmers_behaviour","Social factors: stem from farmers’ interactions with others —such as peers or advisors—and encompass elements like social norms and injunctive norms. Injunctive norms encompass what farmers believe others expect of them. Social norms reflect both shared expectations about appropriate behaviour and individuals’ perceptions of how common or accepted certain practices are among others (Dessart et al. 2019).","descriptive norm","Perceived community care for nature","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I live in a place where most people take good care of the land and nature."
"agroecol_perspective_3","4",96,201,47.7611940298507,"agroecol_perspective_3","Somewhat agree","farmers_behaviour","Social factors: stem from farmers’ interactions with others —such as peers or advisors—and encompass elements like social norms and injunctive norms. Injunctive norms encompass what farmers believe others expect of them. Social norms reflect both shared expectations about appropriate behaviour and individuals’ perceptions of how common or accepted certain practices are among others (Dessart et al. 2019).","descriptive norm","Perceived community care for nature","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I live in a place where most people take good care of the land and nature."
"agroecol_perspective_3","5",69,201,34.3283582089552,"agroecol_perspective_3","Completely agree","farmers_behaviour","Social factors: stem from farmers’ interactions with others —such as peers or advisors—and encompass elements like social norms and injunctive norms. Injunctive norms encompass what farmers believe others expect of them. Social norms reflect both shared expectations about appropriate behaviour and individuals’ perceptions of how common or accepted certain practices are among others (Dessart et al. 2019).","descriptive norm","Perceived community care for nature","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I live in a place where most people take good care of the land and nature."
"agroecol_perspective_4","2",1,201,0.497512437810945,"agroecol_perspective_4","Somewhat disagree","farmers_behaviour","Dispositional factors: encompass farmers personality, motivations, values, believes, and overarching goals or preferences, that shape their general tendency to act in certain ways (Dessart et al. 2019).","farming objective (environmental)","Care for land and nature on the farm","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I take care of the land and nature on my farm."
"agroecol_perspective_4","3",7,201,3.48258706467662,"agroecol_perspective_4","Neutral","farmers_behaviour","Dispositional factors: encompass farmers personality, motivations, values, believes, and overarching goals or preferences, that shape their general tendency to act in certain ways (Dessart et al. 2019).","farming objective (environmental)","Care for land and nature on the farm","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I take care of the land and nature on my farm."
"agroecol_perspective_4","4",28,201,13.9303482587065,"agroecol_perspective_4","Somewhat agree","farmers_behaviour","Dispositional factors: encompass farmers personality, motivations, values, believes, and overarching goals or preferences, that shape their general tendency to act in certain ways (Dessart et al. 2019).","farming objective (environmental)","Care for land and nature on the farm","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I take care of the land and nature on my farm."
"agroecol_perspective_4","5",165,201,82.089552238806,"agroecol_perspective_4","Completely agree","farmers_behaviour","Dispositional factors: encompass farmers personality, motivations, values, believes, and overarching goals or preferences, that shape their general tendency to act in certain ways (Dessart et al. 2019).","farming objective (environmental)","Care for land and nature on the farm","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I take care of the land and nature on my farm."
"agroecol_perspective_5","0",4,201,1.99004975124378,"agroecol_perspective_5","I don't know","farmers_behaviour","Dispositional factors: encompass farmers personality, motivations, values, believes, and overarching goals or preferences, that shape their general tendency to act in certain ways (Dessart et al. 2019).","identity","Identification as an agroecological farmer","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I identify myself as an agroecological farmer."
"agroecol_perspective_5","2",1,201,0.497512437810945,"agroecol_perspective_5","Somewhat disagree","farmers_behaviour","Dispositional factors: encompass farmers personality, motivations, values, believes, and overarching goals or preferences, that shape their general tendency to act in certain ways (Dessart et al. 2019).","identity","Identification as an agroecological farmer","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I identify myself as an agroecological farmer."
"agroecol_perspective_5","3",27,201,13.4328358208955,"agroecol_perspective_5","Neutral","farmers_behaviour","Dispositional factors: encompass farmers personality, motivations, values, believes, and overarching goals or preferences, that shape their general tendency to act in certain ways (Dessart et al. 2019).","identity","Identification as an agroecological farmer","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I identify myself as an agroecological farmer."
"agroecol_perspective_5","4",54,201,26.865671641791,"agroecol_perspective_5","Somewhat agree","farmers_behaviour","Dispositional factors: encompass farmers personality, motivations, values, believes, and overarching goals or preferences, that shape their general tendency to act in certain ways (Dessart et al. 2019).","identity","Identification as an agroecological farmer","5= Completely agree; 4= Somewhat agree; 3= Neutral; 2= Somewhat disagree; 1= Completely disagree; 0= I don't know","categorical","ordinal","How far does the farmer agree with the statement: I identify myself as an agroecological farmer."
